map_name,nodes_number,edges_number,oneway_edges_number,twoway_edges_number,edges_without_speed_number,edges_with_speed_number,max_speed,min_speed,average_speed
map_albert,779,1039,189,850,878,161,80,30,54.96894409937888
map_alsace_est,3366,4448,498,3950,3946,502,110,20,40.71713147410359
map_alsace_vosges,4725,5820,198,5622,5571,249,110,20,50.8433734939759
map_amiens,9665,12849,3378,9471,9921,2928,110,10,41.59323770491803
map_angers,17716,22129,4687,17442,14770,7359,110,10,37.67359695610817
map_auch,2642,3318,470,2848,3020,298,90,10,46.04026845637584
map_auray,2130,2759,477,2282,882,1877,110,20,45.130527437400104
map_barr,453,560,64,496,294,266,80,5,40.902255639097746
map_bavans,609,753,62,691,604,149,80,30,37.24832214765101
map_bellac,697,855,68,787,599,256,90,20,47.3828125
map_bignoux,156,183,21,162,178,5,50,50,50.0
map_bischoffsheim,294,360,32,328,347,13,80,40,53.84615384615385
map_bordeaux,41784,53615,14434,39181,41522,12093,90,10,37.372033407756554
map_brest,8014,10141,2030,8111,4474,5667,90,5,36.94635609670019
map_caen,21941,28289,5931,22358,23329,4960,130,10,42.71875
map_centre_toulouse,9409,12015,4458,7557,6041,5974,90,6,33.34616672246401
map_chateaubriant,1396,1820,336,1484,1768,52,80,30,46.92307692307692
map_chauvigny,901,1148,144,1004,1063,85,90,30,51.411764705882355
map_clermont_ferrand,15582,19956,5278,14678,10890,9066,130,5,36.68210897860137
map_dijon,11543,15349,3933,11416,10358,4991,90,5,43.257864155479865
map_dinan,2632,3416,611,2805,3012,404,110,20,32.004950495049506
map_dinard,1930,2345,459,1886,1796,549,90,20,32.75045537340619
map_dorlisheim,487,630,154,476,547,83,130,0,58.0722891566265
map_gerzat,1194,1574,385,1189,1238,336,110,20,50.223214285714285
map_guingamp,1796,2260,335,1925,1659,601,110,20,49.00998336106489
map_hericourt,1194,1487,292,1195,1173,314,110,15,45.47770700636943
map_le_cailar,234,272,49,223,236,36,80,30,48.333333333333336
map_limoges,10585,13233,2598,10635,7364,5869,110,10,39.64729936956892
map_lingolsheim,1606,2041,325,1716,1708,333,50,20,36.87687687687688
map_lorient,3159,4191,862,3329,1816,2375,70,6,31.408
map_lunel,2856,3658,779,2879,2501,1157,90,10,39.697493517718236
map_lyon,29737,36350,11076,25274,22231,14119,90,5,33.39152914512359
map_marsillargues,712,903,169,734,846,57,80,30,35.96491228070175
map_meaux,3131,4069,1006,3063,3686,383,50,10,38.04177545691906
map_molsheim,1140,1521,224,1297,1288,233,90,10,39.18454935622318
map_montpellier,8551,10769,3318,7451,3761,7008,90,10,30.552939497716896
map_montpellier_centre,1273,1561,328,1233,344,1217,30,10,29.391947411668035
map_nancy,21146,27699,5873,21826,19339,8360,110,5,33.48744019138756
map_nimes,12554,16373,4550,11823,13498,2875,130,10,46.96173913043478
map_obernai,1508,1948,356,1592,1694,254,80,10,35.846456692913385
map_orleans,17653,22083,4591,17492,16229,5854,130,10,38.91100102494021
map_paris_banlieue_nord,8108,10301,3370,6931,8406,1895,90,10,40.224274406332455
map_paris_centre,39216,47961,22832,25129,23286,24675,90,5,30.70322188449848
map_pau,15316,19668,3688,15980,15117,4551,130,10,39.976928147659855
map_poitiers,13667,17317,3613,13704,14598,2719,130,10,43.45163663111438
map_rennes,20026,24193,6412,17781,14921,9272,90,10,32.913610871440895
map_sommieres,1066,1323,179,1144,1150,173,80,20,45.433526011560694
map_strasbourg_centre,10373,14176,4650,9526,11116,3060,90,10,35.549019607843135
map_vauvert,1062,1386,220,1166,1311,75,80,30,53.733333333333334
map_villages_ouest_amiens,1111,1450,38,1412,1249,201,130,30,64.5273631840796
map_villages_strasbourg_ouest,2923,3780,297,3483,3147,633,110,20,42.7172195892575
