node_id1,node_id2,speed,type,length
16825422,16825428,90,oneway,1588.633420773977
16825428,1269773681,50,oneway,135.2977640948055
16825428,107476481,90,oneway,447.9816946570134
16825435,26001012,90,oneway,769.1990699558332
16825440,16825442,90,oneway,484.55635862963874
16825442,16825443,90,oneway,240.16269087257817
16825443,2095287779,90,oneway,51.411368925089235
16825443,16825445,90,oneway,570.1404076150426
16825445,107685099,90,oneway,316.60830660276264
16825447,16825448,70,oneway,162.1410138839454
16825447,3876486367,50,oneway,230.1880135931997
16825448,16825450,70,oneway,1443.9697083855601
16825450,439450965,default,oneway,207.95288455911736
16825450,4228473141,70,oneway,84.0286570300979
16825452,16825455,90,oneway,1129.7786715609645
16825455,1759670685,default,oneway,190.66951888714382
16825455,16825478,90,oneway,688.0793001598557
16825463,1759670060,70,oneway,546.9938296029356
16825463,1759670691,90,oneway,1050.3778628462371
16825478,5059983811,90,oneway,221.24052152829
16825479,16825480,90,oneway,165.10172297429096
16825479,26025249,50,oneway,138.0196914974161
16825480,16825481,90,oneway,831.8780024877144
16825481,904151445,50,oneway,167.3401399822255
16825481,904151398,90,oneway,166.92879015152562
16825482,16825484,90,oneway,271.076102444898
16825482,26270361,default,oneway,432.1354072827306
16825484,29196139,90,oneway,246.30811553269444
16825490,16825493,90,oneway,518.8896119003473
16825493,32046261,50,oneway,232.41517168013348
16825493,16825494,90,oneway,272.1070820719568
16825494,27735119,90,oneway,922.0110635452252
16825507,5060486140,90,oneway,324.8284242101723
16825515,30433324,110,oneway,1270.8188333787746
16825525,2036674610,default,oneway,172.8510589052694
16825525,16825541,default,oneway,284.59535014266936
16825533,26525874,default,oneway,123.43352064755092
16825533,2036674504,default,twoway,31.01218166645117
2036674504,16825533,default,twoway,31.01218166645117
16825541,16825545,130,oneway,373.29254825694403
16825545,16825549,130,oneway,143.2547767591728
16825550,32602893,90,oneway,212.44158269563803
25973787,5722606577,default,oneway,11.69290605019161
25973787,25975122,default,twoway,27.39591837926976
25975122,25973787,default,twoway,27.39591837926976
25973789,5722606569,50,twoway,21.317861369099663
5722606569,25973789,50,twoway,21.317861369099663
25973789,25975122,default,oneway,36.49477480777766
25973795,25973796,50,twoway,179.26730710081404
25973796,25973795,50,twoway,179.26730710081404
25973796,11044106281,default,twoway,2.592837373203083
11044106281,25973796,default,twoway,2.592837373203083
25973796,3652975125,30,oneway,24.756124654258954
25973796,2320400041,default,oneway,42.15862451438743
25973806,3288938980,default,oneway,90.39050498687234
25973806,25973808,50,oneway,129.9910810653194
25973808,8263020588,50,oneway,80.86547713999975
25973809,26526056,50,oneway,138.16174909892223
25973817,2325792703,50,oneway,105.43407169784761
25973817,25973824,50,oneway,100.36515314842015
25973820,25973847,50,oneway,234.8879758904231
25973824,28901062,50,oneway,24.709603753756546
25973824,2097305043,default,twoway,50.996678549249026
2097305043,25973824,default,twoway,50.996678549249026
25973824,25973806,50,oneway,321.3148518738537
25973831,25973833,50,twoway,22.16765221951556
25973833,25973831,50,twoway,22.16765221951556
25973833,1378817683,default,oneway,73.12623742004352
25973833,25973835,50,twoway,30.445643253286843
25973835,25973833,50,twoway,30.445643253286843
25973835,25973837,50,twoway,21.55806696699682
25973837,25973835,50,twoway,21.55806696699682
25973837,16825440,90,oneway,261.7678065924116
25973837,26201244,50,twoway,139.22044993975163
26201244,25973837,50,twoway,139.22044993975163
25973846,2019010407,50,oneway,12.844289149670075
25973846,25973847,default,twoway,25.060189426529558
25973847,25973846,default,twoway,25.060189426529558
25973847,25973850,50,twoway,26.509924157861878
25973850,25973847,50,twoway,26.509924157861878
25973850,25973831,50,twoway,135.41753562685852
25973831,25973850,50,twoway,135.41753562685852
25973850,1813817938,default,oneway,92.56552937463645
25973855,10293479328,default,twoway,265.5286473492954
10293479328,25973855,default,twoway,265.5286473492954
25973855,1378817701,default,oneway,21.857939049575215
25974010,6017322757,50,twoway,129.85582843145488
6017322757,25974010,50,twoway,129.85582843145488
25974010,34028160,default,oneway,137.6781686218194
25974143,5628692214,default,oneway,7.648939158426188
25974143,6974294811,50,twoway,34.299030401825476
6974294811,25974143,50,twoway,34.299030401825476
25974143,8248049902,50,twoway,91.61476840412004
8248049902,25974143,50,twoway,91.61476840412004
25974144,26525815,50,twoway,99.71930908403843
26525815,25974144,50,twoway,99.71930908403843
25974144,252400746,50,oneway,37.04612903706588
25974150,25974152,50,twoway,111.63667143015141
25974152,25974150,50,twoway,111.63667143015141
25974150,11052530881,50,oneway,52.78982503661373
25974152,11165248335,50,twoway,23.56464490477122
11165248335,25974152,50,twoway,23.56464490477122
25974156,25974159,30,twoway,57.257999976036466
25974159,25974156,30,twoway,57.257999976036466
25974156,26242604,50,twoway,51.45189336589102
26242604,25974156,50,twoway,51.45189336589102
25974159,10697543794,default,twoway,3.8871623008936536
10697543794,25974159,default,twoway,3.8871623008936536
25974304,252400714,50,oneway,90.76987781704403
25974304,1896534085,30,oneway,95.30650992425865
25974307,1520896455,50,oneway,22.36169098216297
25974310,1735084300,50,twoway,10.680028217641512
1735084300,25974310,50,twoway,10.680028217641512
25974310,26003171,50,oneway,15.237737378118407
25974318,1915156220,50,oneway,13.543541850582518
