node_id1,node_id2,speed,type,length
32594729,2342384399,default,twoway,13.669891138329985
2342384399,32594729,default,twoway,13.669891138329985
32594729,2342384426,default,oneway,37.23368160418428
32594730,2342384374,default,oneway,15.49551233870316
32594730,2342384373,default,twoway,11.40296566751402
2342384373,32594730,default,twoway,11.40296566751402
32594732,32594734,default,twoway,13.38470812801845
32594734,32594732,default,twoway,13.38470812801845
32594732,32594740,default,oneway,390.9387002093707
32594734,2822623046,default,twoway,11.194395811933724
2822623046,32594734,default,twoway,11.194395811933724
32594740,1797015153,default,twoway,8.341713403700275
1797015153,32594740,default,twoway,8.341713403700275
32594741,32594742,default,twoway,11.728186948993493
32594742,32594741,default,twoway,11.728186948993493
32594742,2342384261,default,oneway,12.953114692049459
32594742,2342384258,default,twoway,10.174262321073517
2342384258,32594742,default,twoway,10.174262321073517
32594743,2342383854,default,oneway,212.8193587269014
32594743,32594744,default,twoway,14.72272733467521
32594744,32594743,default,twoway,14.72272733467521
32594744,1797015160,default,twoway,32.04022150622849
1797015160,32594744,default,twoway,32.04022150622849
32594747,32594740,default,twoway,13.92172955583714
32594740,32594747,default,twoway,13.92172955583714
32594747,32594734,default,oneway,388.9780940620053
32594753,32594741,default,oneway,12.757656210781414
32594754,32594753,default,twoway,22.10743607227002
32594753,32594754,default,twoway,22.10743607227002
32594754,32594759,default,twoway,53.91017081687269
32594759,32594754,default,twoway,53.91017081687269
32594756,32594754,default,twoway,46.193513252495244
32594754,32594756,default,twoway,46.193513252495244
32594759,9919259839,default,twoway,18.914914130526977
9919259839,32594759,default,twoway,18.914914130526977
32594759,32594756,default,twoway,45.02681078153599
32594756,32594759,default,twoway,45.02681078153599
32594764,32594744,default,oneway,457.2819414583052
32594764,870374716,70,twoway,52.33689997612218
870374716,32594764,70,twoway,52.33689997612218
32594769,2911998173,30,twoway,95.1159098167314
2911998173,32594769,30,twoway,95.1159098167314
32594772,3781732994,default,oneway,23.843793928461885
32594776,32594777,default,twoway,8.39182587753684
32594777,32594776,default,twoway,8.39182587753684
32594777,1829062644,default,twoway,5.459996729205026
1829062644,32594777,default,twoway,5.459996729205026
32594777,2163870412,default,twoway,64.43470892072703
2163870412,32594777,default,twoway,64.43470892072703
32594779,32594780,default,twoway,8.299132732095885
32594780,32594779,default,twoway,8.299132732095885
32594780,32594781,default,oneway,31.608861554682797
32594780,32594776,default,twoway,11.05191200126374
32594776,32594780,default,twoway,11.05191200126374
32594781,3762686116,default,oneway,43.95077771622087
32594783,2161061065,default,twoway,3.4187141146886235
2161061065,32594783,default,twoway,3.4187141146886235
32594794,3794950059,default,oneway,4.385287716010378
32594794,32594795,default,twoway,9.851197362232917
32594795,32594794,default,twoway,9.851197362232917
32594795,2161061017,default,twoway,10.258998777049602
2161061017,32594795,default,twoway,10.258998777049602
32594798,32594795,default,oneway,12.371306491295687
32594798,32594779,default,twoway,41.916711869883976
32594779,32594798,default,twoway,41.916711869883976
32594805,279179246,default,oneway,29.41151079363976
32594805,1656688018,default,twoway,11.805999121536027
1656688018,32594805,default,twoway,11.805999121536027
32594807,1656688103,default,twoway,11.090789222794422
1656688103,32594807,default,twoway,11.090789222794422
249542149,249542150,50,twoway,21.09587028622694
249542150,249542149,50,twoway,21.09587028622694
249542150,1633231410,50,twoway,79.65433128610185
1633231410,249542150,50,twoway,79.65433128610185
249542150,3214659280,50,twoway,25.566789431424247
3214659280,249542150,50,twoway,25.566789431424247
249542155,11556008737,default,twoway,69.26545331606818
11556008737,249542155,default,twoway,69.26545331606818
249542161,290027255,default,twoway,9.21314015814568
290027255,249542161,default,twoway,9.21314015814568
249542165,3803930466,default,twoway,17.77174122253064
3803930466,249542165,default,twoway,17.77174122253064
249542165,249542166,30,twoway,258.27918542923527
249542166,249542165,30,twoway,258.27918542923527
249542166,249542167,30,twoway,112.95675541460358
249542167,249542166,30,twoway,112.95675541460358
249542167,4309866657,30,twoway,62.13616789299209
4309866657,249542167,30,twoway,62.13616789299209
249542167,3743043825,default,twoway,38.976338666495366
3743043825,249542167,default,twoway,38.976338666495366
279015143,4053469912,50,twoway,417.9074153981538
4053469912,279015143,50,twoway,417.9074153981538
279015143,3080617248,default,twoway,459.0921551572005
3080617248,279015143,default,twoway,459.0921551572005
279015224,3827534872,default,twoway,73.86840067717483
3827534872,279015224,default,twoway,73.86840067717483
279015246,2912958930,default,twoway,20.478615740900654
2912958930,279015246,default,twoway,20.478615740900654
279015246,2911965544,default,twoway,189.029933236388
2911965544,279015246,default,twoway,189.029933236388
279179246,1656688009,default,twoway,3.1869874905706705
1656688009,279179246,default,twoway,3.1869874905706705
279179252,279179263,30,twoway,35.07876914552828
279179263,279179252,30,twoway,35.07876914552828
279179253,279179255,30,twoway,12.125243164129767
279179255,279179253,30,twoway,12.125243164129767
279179253,3667508028,default,twoway,14.7205429250569
3667508028,279179253,default,twoway,14.7205429250569
279179255,279179257,30,twoway,22.384881655916836
279179257,279179255,30,twoway,22.384881655916836
279179257,3667508089,30,twoway,23.699312425313455
3667508089,279179257,30,twoway,23.699312425313455
279179257,3660950962,30,twoway,42.919519758917104
3660950962,279179257,30,twoway,42.919519758917104
