node_id1,node_id2,speed,type,length
619456,1398376909,50,oneway,12.42938931565033
619456,2280452324,70,oneway,250.66989471476256
622756,323733813,70,oneway,327.22790789619154
622756,622758,70,oneway,836.4837444260909
622758,506540753,70,oneway,333.95528190941263
622760,321266114,70,oneway,280.6877425929049
622760,48297137,70,oneway,339.0089021474047
622767,30268471,default,oneway,13.105251448251042
622777,622778,default,twoway,193.5669631591339
622778,622777,default,twoway,193.5669631591339
622777,733198937,default,twoway,21.946109634755388
733198937,622777,default,twoway,21.946109634755388
622780,7252985545,default,oneway,18.438808861306914
622780,622778,default,twoway,159.23872359784653
622778,622780,default,twoway,159.23872359784653
622814,83190696,50,oneway,892.6600687160383
27358585,80369562,50,twoway,88.85794821973946
80369562,27358585,50,twoway,88.85794821973946
27358585,80361098,30,oneway,137.87545264933175
27364471,485655120,default,twoway,6.62161587597105
485655120,27364471,default,twoway,6.62161587597105
27365075,9010955508,30,oneway,36.53187277149517
27365075,6666461932,30,oneway,32.64736471854993
27365075,1207544522,default,oneway,128.53289538081577
27365076,1940680710,30,oneway,6.083992762843937
27365076,1940680668,default,oneway,108.09657632285746
27365078,484227752,default,oneway,11.913717441082698
27365078,1207544540,20,twoway,10.448128158382392
1207544540,27365078,20,twoway,10.448128158382392
27365078,1207947963,50,oneway,9.446875080901151
27365078,1940680721,30,twoway,9.271940095523776
1940680721,27365078,30,twoway,9.271940095523776
27365080,158721649,20,oneway,47.97029724483482
27365080,158721646,20,twoway,45.75755998626566
158721646,27365080,20,twoway,45.75755998626566
27365081,158721059,20,twoway,39.45683374698897
158721059,27365081,20,twoway,39.45683374698897
27365084,80367528,30,twoway,80.21156520724152
80367528,27365084,30,twoway,80.21156520724152
27365084,1207948095,default,oneway,140.4492707003006
27365086,995418111,default,twoway,5.689897677093438
995418111,27365086,default,twoway,5.689897677093438
27365086,665743141,default,twoway,12.725111598148594
665743141,27365086,default,twoway,12.725111598148594
27365086,85972819,default,oneway,54.51818369840354
27365088,30772314,20,twoway,48.72644441585868
30772314,27365088,20,twoway,48.72644441585868
27365093,27365095,30,oneway,84.67435636771188
27365093,2271430155,20,oneway,153.54073601784197
27365095,85980815,20,oneway,146.22266740773472
27365095,476025253,20,oneway,96.94773327360929
27365095,432824758,30,oneway,47.7864881436297
27365097,130143269,default,twoway,84.11501640326827
130143269,27365097,default,twoway,84.11501640326827
27365097,473868187,default,twoway,56.356577478815574
473868187,27365097,default,twoway,56.356577478815574
27365097,1250004372,20,oneway,43.21003666200938
27365105,157321275,default,twoway,12.30697380373164
157321275,27365105,default,twoway,12.30697380373164
27365105,310205979,default,twoway,29.14063870941483
310205979,27365105,default,twoway,29.14063870941483
27365107,27365078,default,oneway,9.328524290671478
27365107,1940680721,default,oneway,14.582190476244875
30268470,248716639,default,oneway,20.585941659464364
30268470,622767,default,oneway,39.91453530468826
30268471,248716637,50,oneway,15.42154734542066
30268471,248715555,default,oneway,74.68339298471535
30268475,1658768598,50,oneway,27.265659053598803
30268475,9730864535,default,oneway,6.139145545303495
30268476,1243973616,50,oneway,8.095645338060919
30268476,5125110411,default,twoway,6.2220983526505735
5125110411,30268476,default,twoway,6.2220983526505735
30268477,4172030487,default,oneway,48.86003535087963
30268477,1658768601,50,oneway,75.8041116581283
30268483,1661081822,default,twoway,5.157171350385065
1661081822,30268483,default,twoway,5.157171350385065
30268483,2694590809,default,oneway,82.72020794763749
30268485,6567656073,30,twoway,16.879558670955344
6567656073,30268485,30,twoway,16.879558670955344
30268485,30268483,default,oneway,98.53410983219013
30268485,538823827,30,oneway,9.311195656383237
30268492,538823843,default,twoway,5.861646630558101
538823843,30268492,default,twoway,5.861646630558101
30268492,538823853,30,twoway,61.194778704487604
538823853,30268492,30,twoway,61.194778704487604
30268501,4227749000,30,oneway,68.91148161797612
30268526,30268527,default,oneway,41.662352186058726
30268526,5125109651,default,oneway,24.966604116464957
30268527,30285964,default,oneway,121.83577334151717
30268529,1658768589,default,oneway,247.8040416070208
30268529,30286442,70,oneway,287.56465433972835
30268547,1658768619,50,oneway,64.46218871020577
30268566,4093136907,default,twoway,10.973559729320598
4093136907,30268566,default,twoway,10.973559729320598
30268566,2694590815,default,oneway,29.867169952537502
30268567,5549904868,30,twoway,35.60883145287706
5549904868,30268567,30,twoway,35.60883145287706
30268567,270349145,30,oneway,85.25005188116134
30268568,1659083891,30,twoway,51.146262244693446
1659083891,30268568,30,twoway,51.146262244693446
30268568,526679819,40,oneway,33.48876730693365
30268571,339003949,default,oneway,65.67167124619851
30268579,1398390260,70,oneway,228.1844869589924
30268579,30268581,90,oneway,88.16224075994896
30268581,30268584,70,oneway,403.9149895153286
30268584,207207377,90,oneway,621.2935328423732
30268599,506540767,70,oneway,274.6185045687532
30268609,2271410336,70,oneway,623.3312429754601
30268609,243753930,default,oneway,637.8201312170293
