map_name,number_of_edges,number_of_nodes,neighbourhood_average,neighbourhood_max,neighbourhood_max_twoway_in,neighbourhood_max_twoway_out,neighbourhood_max_oneway_in,neighbourhood_max_oneway_out,neighbourhood_twoway_in_average,neighbourhood_twoway_out_average,neighbourhood_oneway_in_average,neighbourhood_oneway_out_average,neighbourhood_distribution
map_albert_,1889,779,2.6495507060333763,5,5,5,4,4,2.342747111681643,2.342747111681643,0.07958921694480103,0.0821566110397946,"[  0. 145.  65. 491.  74.   4.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_alsace_est_,8398,3366,2.6143790849673203,5,5,5,4,4,2.4462269756387403,2.4480095068330363,0.047534165181224004,0.046939988116458706,"[   0.  745.  199. 2036.  381.    5.    0.    0.    0.    0.    0.    0.
    0.    0.    0.]"
map_alsace_vosges_,11442,4725,2.445291005291005,6,6,6,3,3,2.4124867724867727,2.412910052910053,0.0091005291005291,0.008677248677248678,"[   0. 1334.  245. 2877.  249.   17.    3.    0.    0.    0.    0.    0.
    0.    0.    0.]"
map_amiens_,22320,9665,2.6327987584066217,8,8,8,5,5,2.1752715985514746,2.174340403517848,0.13181583031557165,0.13502327987584067,"[0.000e+00 2.154e+03 6.180e+02 5.584e+03 1.251e+03 5.200e+01 3.000e+00
 2.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_angers_,39571,17716,2.4739218785278845,7,7,7,6,6,2.131011515014676,2.1298261458568524,0.0997403477082863,0.10380447053510951,"[0.0000e+00 4.8410e+03 1.2480e+03 1.0099e+04 1.4590e+03 5.7000e+01
 1.1000e+01 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00]"
map_auch_,6166,2642,2.476911430734292,5,5,5,5,5,2.2668433005299016,2.2668433005299016,0.06623769871309614,0.06699470098410296,"[   0.  714.  177. 1536.  207.    8.    0.    0.    0.    0.    0.    0.
    0.    0.    0.]"
map_auray_,5041,2130,2.5661971830985917,5,5,5,4,4,2.2863849765258215,2.2915492957746477,0.07746478873239436,0.07511737089201878,"[   0.  459.  186. 1310.  170.    5.    0.    0.    0.    0.    0.    0.
    0.    0.    0.]"
map_barr_,1056,453,2.4503311258278146,5,5,5,3,3,2.2891832229580573,2.2891832229580573,0.04194260485651214,0.04194260485651214,"[  0. 115.  43. 272.  22.   1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_bavans_,1444,609,2.4564860426929394,6,6,6,4,4,2.348111658456486,2.3464696223316914,0.022988505747126436,0.024630541871921183,"[  0. 173.  29. 365.  41.   0.   1.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_bellac_,1642,697,2.42467718794835,4,4,4,3,3,2.3443328550932567,2.3472022955523673,0.00860832137733142,0.00860832137733142,"[  0. 202.  41. 410.  44.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_bignoux_,345,156,2.3333333333333335,4,4,4,0,0,2.2115384615384617,2.2115384615384617,0.0,0.0,[ 0. 49. 12. 89.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
map_bischoffsheim_,688,294,2.4285714285714284,4,4,4,0,0,2.3401360544217686,2.3401360544217686,0.0,0.0,"[  0.  85.  12. 183.  14.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_bordeaux_,92796,41784,2.5386272257323377,8,8,8,7,7,2.0736166953857937,2.072467930308252,0.14467260195290063,0.14838215584912887,"[0.0000e+00 1.0993e+04 2.3410e+03 2.3727e+04 4.4570e+03 2.1600e+02
 4.1000e+01 8.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00]"
