L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
288.02661075451596,288.02661075451596,288.02661075451596,288.02661075451596,51,51,51,51,0,0.0
488.68685002059783,488.68685002059783,488.68685002059783,488.68685002059783,97,97,97,97,0,0.0
258.73078810173877,258.73078810173877,258.73078810173877,258.73078810173877,76,76,76,76,0,0.0
406.4994635344483,406.4994635344483,406.4994635344483,406.4994635344483,81,81,81,81,0,0.0
181.76094986085062,181.76094986085062,181.76094986085062,181.76094986085062,58,58,58,58,0,0.0
263.64066513327674,263.64066513327674,263.64066513327674,263.64066513327674,59,59,59,59,0,0.0
317.9311787435371,317.9311787435371,317.9311787435371,317.9311787435371,57,57,57,57,0,0.0
368.2314935948221,368.2314935948221,368.2314935948221,368.2314935948221,82,82,82,82,0,0.0
340.5477693921317,340.5477693921317,340.5477693921317,340.5477693921317,72,72,72,72,0,0.0
368.5336006751138,368.5336006751138,368.5336006751138,368.5336006751138,58,58,58,58,0,0.0
409.0917203721501,409.0917203721501,409.0917203721501,409.0917203721501,83,83,83,83,0,0.0
439.5037373867209,439.5037373867209,439.5037373867209,439.5037373867209,90,90,90,90,0,0.0
196.9214209674466,196.9214209674466,196.9214209674466,196.9214209674466,56,56,56,56,0,0.0
263.3209844264314,263.3209844264314,263.3209844264314,263.3209844264314,85,85,85,85,0,0.0
211.29745600440637,211.29745600440637,211.29745600440637,211.29745600440637,50,50,50,50,0,0.0
371.5327781835703,371.5327781835703,371.5327781835703,371.5327781835703,69,69,69,69,0,0.0
345.9020873031815,345.9020873031815,345.9020873031815,345.9020873031815,64,64,64,64,0,0.0
358.37633387024385,358.37633387024385,358.37633387024385,358.37633387024385,71,71,71,71,0,0.0
297.8073805169296,297.8073805169296,297.8073805169296,297.8073805169296,66,66,66,66,0,0.0
257.2604321572944,257.2604321572944,257.2604321572944,257.2604321572944,55,55,55,55,0,0.0
338.5752536348068,338.5752536348068,338.5752536348068,338.5752536348068,59,59,59,59,1,0.0
388.7921917994889,388.7921917994889,388.7921917994889,388.7921917994889,85,85,85,85,1,0.0
279.7769624477455,279.7769624477455,279.7769624477455,279.7769624477455,65,65,65,65,1,0.0
503.0742194015239,503.0742194015239,503.0742194015239,503.0742194015239,80,80,80,80,1,0.0
395.2612828055001,395.2612828055001,395.2612828055001,395.2612828055001,64,64,64,64,1,0.0
412.29013630842945,412.29013630842945,412.29013630842945,412.29013630842945,98,98,98,98,1,0.0
500.72149880478827,500.72149880478827,500.72149880478827,500.72149880478827,94,94,94,94,1,0.0
326.766192424009,326.766192424009,326.766192424009,326.766192424009,64,64,64,64,1,0.0
553.5402902880189,553.5402902880189,553.5402902880189,553.5402902880189,105,105,105,105,1,0.0
353.3809507192216,353.3809507192216,353.3809507192216,353.3809507192216,81,81,81,81,1,0.0
250.53393844615962,250.53393844615962,250.53393844615962,250.53393844615962,57,57,57,57,1,0.0
301.8116452054256,301.8116452054256,301.8116452054256,301.8116452054256,83,83,83,83,1,0.0
227.48917692895904,227.48917692895904,227.48917692895904,227.48917692895904,50,50,50,50,1,0.0
274.5704016025407,274.5704016025407,274.5704016025407,274.5704016025407,54,54,54,54,1,0.0
442.8093838073559,442.8093838073559,442.8093838073559,442.8093838073559,82,82,82,82,1,0.0
283.7868652779902,283.7868652779902,283.7868652779902,283.7868652779902,51,51,51,51,1,0.0
330.8430916178397,330.8430916178397,330.8430916178397,330.8430916178397,66,66,66,66,1,0.0
362.92426147437436,362.92426147437436,362.92426147437436,362.92426147437436,83,83,83,83,1,0.0
341.04617513359045,341.04617513359045,341.04617513359045,341.04617513359045,52,52,52,52,1,0.0
367.13643439897555,367.13643439897555,367.13643439897555,367.13643439897555,78,78,78,78,1,0.0
373.88106592961753,373.88106592961753,373.88106592961753,373.88106592961753,70,70,70,70,2,0.0
504.7809489336066,504.7809489336066,504.7809489336066,504.7809489336066,122,122,122,122,2,0.0
394.6401505217304,394.6401505217304,394.6401505217304,394.6401505217304,88,88,88,88,2,0.0
305.93810707965383,305.93810707965383,305.93810707965383,305.93810707965383,61,61,61,61,2,0.0
348.5164211161912,348.5164211161912,348.5164211161912,348.5164211161912,61,61,61,61,2,0.0
428.1381893567416,428.1381893567416,428.1381893567416,428.1381893567416,108,108,108,108,2,0.0
385.78824112389674,385.78824112389674,385.78824112389674,385.78824112389674,69,69,69,69,2,0.0
506.48068436209303,506.48068436209303,506.48068436209303,506.48068436209303,98,98,98,98,2,0.0
271.3205204039754,271.3205204039754,271.3205204039754,271.3205204039754,67,67,67,67,2,0.0
455.490182621612,455.490182621612,455.490182621612,455.490182621612,92,92,92,92,2,0.0
270.2763073449554,270.2763073449554,270.2763073449554,270.2763073449554,51,51,51,51,2,0.0
445.2550254672977,445.2550254672977,445.2550254672977,445.2550254672977,87,87,87,87,2,0.0
557.6282364509733,557.6282364509733,557.6282364509733,557.6282364509733,128,128,128,128,2,0.0
415.9230793861203,415.9230793861203,415.9230793861203,415.9230793861203,85,85,85,85,2,0.0
412.9727217029913,412.9727217029913,412.9727217029913,412.9727217029913,100,100,100,100,2,0.0
235.55570915718363,235.55570915718363,235.55570915718363,235.55570915718363,58,58,58,58,2,0.0
625.7872064046168,625.7872064046168,625.7872064046168,625.7872064046168,122,122,122,122,2,0.0
165.11154141779397,165.11154141779397,165.11154141779397,165.11154141779397,50,50,50,50,2,0.0
496.77187981251427,496.77187981251427,496.77187981251427,496.77187981251427,108,108,108,108,2,0.0
363.1167527019652,363.1167527019652,363.1167527019652,363.1167527019652,69,69,69,69,2,0.0
358.7247618173677,358.7247618173677,358.7247618173677,358.7247618173677,68,68,68,68,3,0.0
511.16123675803686,511.16123675803686,511.16123675803686,511.16123675803686,83,83,83,83,3,0.0
220.43958701883403,220.43958701883403,220.43958701883403,220.43958701883403,56,56,56,56,3,0.0
573.7062939677206,573.7062939677206,573.7062939677206,573.7062939677206,109,109,109,109,3,0.0
428.4919382532088,428.4919382532088,428.4919382532088,428.4919382532088,92,92,92,92,3,0.0
395.98079190928024,395.98079190928024,395.98079190928024,395.98079190928024,65,65,65,65,3,0.0
426.52723905717517,426.52723905717517,426.52723905717517,426.52723905717517,106,106,106,106,3,0.0
265.01547341844713,265.01547341844713,265.01547341844713,265.01547341844713,51,51,51,51,3,0.0
345.9056130237628,345.9056130237628,345.9056130237628,345.9056130237628,86,86,86,86,3,0.0
403.32279044636323,403.32279044636323,403.32279044636323,403.32279044636323,91,91,91,91,3,0.0
371.0407990808925,371.0407990808925,371.0407990808925,371.0407990808925,77,77,77,77,3,0.0
395.7069671588491,395.7069671588491,395.7069671588491,395.7069671588491,68,68,68,68,3,0.0
342.91245755669786,342.91245755669786,342.91245755669786,342.91245755669786,83,83,83,83,3,0.0
477.97962371784826,477.97962371784826,477.97962371784826,477.97962371784826,98,98,98,98,3,0.0
305.2829354091254,305.2829354091254,305.2829354091254,305.2829354091254,71,71,71,71,3,0.0
656.3139856922296,656.3139856922296,656.3139856922296,656.3139856922296,138,138,138,138,3,0.0
500.5542199353713,500.5542199353713,500.5542199353713,500.5542199353713,98,98,98,98,3,0.0
428.45617098426106,428.45617098426106,428.45617098426106,428.45617098426106,111,111,111,111,3,0.0
400.7183638751311,400.7183638751311,400.7183638751311,400.7183638751311,116,116,116,116,3,0.0
465.3892670082606,465.3892670082606,465.3892670082606,465.3892670082606,109,109,109,109,3,0.0
368.69466260943324,368.69466260943324,368.69466260943324,368.69466260943324,70,70,70,70,4,0.0
320.2836915062746,320.2836915062746,320.2836915062746,320.2836915062746,85,85,85,85,4,0.0
195.36735972243667,195.36735972243667,195.36735972243667,195.36735972243667,53,53,53,53,4,0.0
354.6204206497116,354.6204206497116,354.6204206497116,354.6204206497116,84,84,84,84,4,0.0
