L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation,rayon
562.9376014962154,562.9376014962154,562.9376014962154,562.9376014962154,97,97,97,97,0,0.0,0
543.7716464205716,543.7716464205716,543.7716464205716,543.7716464205716,143,143,143,143,0,0.0,0
307.09297960081614,307.09297960081614,307.09297960081614,307.09297960081614,49,49,49,49,0,0.0,0
695.1956792145277,695.1956792145277,695.1956792145277,695.1956792145277,205,205,205,205,0,0.0,0
621.0710549206864,621.0710549206864,621.0710549206864,621.0710549206864,152,152,152,152,0,0.0,0
322.60747382111765,322.60747382111765,322.60747382111765,322.60747382111765,67,67,67,67,0,0.0,0
281.73443471743224,281.73443471743224,281.73443471743224,281.73443471743224,80,80,80,80,0,0.0,0
466.76430288854044,466.76430288854044,466.76430288854044,466.76430288854044,110,110,110,110,0,0.0,0
257.5514886946367,257.5514886946367,257.5514886946367,257.5514886946367,55,55,55,55,0,0.0,0
604.6939076682365,604.6939076682365,604.6939076682365,604.6939076682365,78,78,78,78,0,0.0,0
228.34093864238025,228.34093864238025,228.34093864238025,228.34093864238025,69,69,69,69,0,0.0,0
226.21526275647946,226.21526275647946,226.21526275647946,226.21526275647946,78,78,78,78,0,0.0,0
442.3647927401852,442.3647927401852,442.3647927401852,442.3647927401852,72,72,72,72,0,0.0,0
428.16944846371155,428.16944846371155,428.16944846371155,428.16944846371155,67,67,67,67,0,0.0,0
788.9220949581455,788.9220949581455,788.9220949581455,788.9220949581455,142,142,142,142,0,0.0,0
468.07022036899303,468.07022036899303,468.07022036899303,468.07022036899303,75,75,75,75,0,0.0,0
577.7665945523462,577.7665945523462,577.7665945523462,577.7665945523462,119,119,119,119,0,0.0,0
600.5572546836228,600.5572546836228,600.5572546836228,600.5572546836228,113,113,113,113,0,0.0,0
480.15066799719233,480.15066799719233,480.15066799719233,480.15066799719233,77,77,77,77,0,0.0,0
589.992401280156,589.992401280156,589.992401280156,589.992401280156,84,84,84,84,0,0.0,0
165.89916862522327,165.89916862522327,165.89916862522327,165.89916862522327,31,31,31,31,0,0.0,0
440.24039564213723,440.24039564213723,440.24039564213723,440.24039564213723,83,83,83,83,0,0.0,0
511.325193155513,511.325193155513,511.325193155513,511.325193155513,141,141,141,141,0,0.0,0
257.702884385692,257.702884385692,257.702884385692,257.702884385692,67,67,67,67,0,0.0,0
105.67888062283977,105.67888062283977,105.67888062283977,105.67888062283977,48,48,48,48,0,0.0,0
509.7169558635982,509.7169558635982,509.7169558635982,509.7169558635982,65,65,65,65,1,0.0,0
383.09095697434185,383.09095697434185,383.09095697434185,383.09095697434185,56,56,56,56,1,0.0,0
615.7382685724361,615.7382685724361,615.7382685724361,615.7382685724361,95,95,95,95,1,0.0,0
523.8638523543464,523.8638523543464,523.8638523543464,523.8638523543464,105,105,105,105,1,0.0,0
351.0716950408466,351.0716950408466,351.0716950408466,351.0716950408466,78,78,78,78,1,0.0,0
160.71091740442316,160.71091740442316,160.71091740442316,160.71091740442316,28,28,28,28,1,0.0,0
390.76271384989053,390.76271384989053,390.76271384989053,390.76271384989053,57,57,57,57,1,0.0,0
344.0710272782564,344.0710272782564,344.0710272782564,344.0710272782564,81,81,81,81,1,0.0,0
274.46326141126843,274.46326141126843,274.46326141126843,274.46326141126843,70,70,70,70,1,0.0,0
375.7784589141494,375.7784589141494,375.7784589141494,375.7784589141494,81,81,81,81,1,0.0,0
133.78775613511127,133.78775613511127,133.78775613511127,133.78775613511127,27,27,27,27,1,0.0,0
158.26918185100985,158.26918185100985,158.26918185100985,158.26918185100985,43,43,43,43,1,0.0,0
531.3405398506409,531.3405398506409,531.3405398506409,531.3405398506409,150,150,150,150,1,0.0,0
289.53917019598765,289.53917019598765,289.53917019598765,289.53917019598765,75,75,75,75,1,0.0,0
305.43098570967163,305.43098570967163,305.43098570967163,305.43098570967163,79,79,79,79,1,0.0,0
332.0640531345638,332.0640531345638,332.0640531345638,332.0640531345638,54,54,54,54,1,0.0,0
304.8857733835254,304.8857733835254,304.8857733835254,304.8857733835254,76,76,76,76,1,0.0,0
324.06409577833557,324.06409577833557,324.06409577833557,324.06409577833557,101,101,101,101,1,0.0,0
483.53903929714073,483.53903929714073,483.53903929714073,483.53903929714073,55,55,55,55,1,0.0,0
199.8400311141325,199.8400311141325,199.8400311141325,199.8400311141325,48,48,48,48,1,0.0,0
