L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
395.9654963069372,395.9654963069372,395.9654963069372,395.9654963069372,65,65,65,65,0,0.0
180.04190882837716,180.04190882837716,180.04190882837716,180.04190882837716,56,56,56,56,0,0.0
443.5076220754722,443.5076220754722,443.5076220754722,443.5076220754722,120,120,120,120,0,0.0
358.29429669258786,358.29429669258786,358.29429669258786,358.29429669258786,90,90,90,90,0,0.0
379.38957975182905,379.38957975182905,379.38957975182905,379.38957975182905,80,80,80,80,0,0.0
398.5835837009636,398.5835837009636,398.5835837009636,398.5835837009636,100,100,100,100,0,0.0
374.56919517431925,374.56919517431925,374.56919517431925,374.56919517431925,62,62,62,62,0,0.0
426.25525683967277,426.25525683967277,426.25525683967277,426.25525683967277,95,95,95,95,0,0.0
224.0718478425164,224.0718478425164,224.0718478425164,224.0718478425164,50,50,50,50,0,0.0
240.03727403671763,240.03727403671763,240.03727403671763,240.03727403671763,73,73,73,73,0,0.0
296.163627740375,296.163627740375,296.163627740375,296.163627740375,77,77,77,77,1,0.0
382.9006308557292,382.9006308557292,382.9006308557292,382.9006308557292,83,83,83,83,1,0.0
444.5675400126958,444.5675400126958,444.5675400126958,444.5675400126958,113,113,113,113,1,0.0
263.39059527937593,263.39059527937593,263.39059527937593,263.39059527937593,61,61,61,61,1,0.0
353.07418194159203,353.07418194159203,353.07418194159203,353.07418194159203,73,73,73,73,1,0.0
267.75292816168405,267.75292816168405,267.75292816168405,267.75292816168405,65,65,65,65,1,0.0
488.0910038991609,488.0910038991609,488.0910038991609,488.0910038991609,106,106,106,106,1,0.0
465.7959626841898,465.7959626841898,465.7959626841898,465.7959626841898,94,94,94,94,1,0.0
402.58308031661085,402.58308031661085,402.58308031661085,402.58308031661085,103,103,103,103,1,0.0
346.5515858995558,346.5515858995558,346.5515858995558,346.5515858995558,51,51,51,51,1,0.0
254.44782869092688,254.44782869092688,254.44782869092688,254.44782869092688,53,53,53,53,2,0.0
360.7684941061632,360.7684941061632,360.7684941061632,360.7684941061632,86,86,86,86,2,0.0
269.5737701750398,269.5737701750398,269.5737701750398,269.5737701750398,51,51,51,51,2,0.0
288.1974449274216,288.1974449274216,288.1974449274216,288.1974449274216,80,80,80,80,2,0.0
407.7325205309419,407.7325205309419,407.7325205309419,407.7325205309419,88,88,88,88,2,0.0
292.61974634608913,292.61974634608913,292.61974634608913,292.61974634608913,52,52,52,52,2,0.0
183.69146393132132,183.69146393132132,183.69146393132132,183.69146393132132,56,56,56,56,2,0.0
314.72644654976745,314.72644654976745,314.72644654976745,314.72644654976745,88,88,88,88,2,0.0
453.66377340707436,453.66377340707436,453.66377340707436,453.66377340707436,107,107,107,107,2,0.0
519.0078051838628,519.0078051838628,519.0078051838628,519.0078051838628,110,110,110,110,2,0.0
498.73318849581494,498.73318849581494,498.73318849581494,498.73318849581494,136,136,136,136,3,0.0
343.2639132517649,343.2639132517649,343.2639132517649,343.2639132517649,95,95,95,95,3,0.0
255.41095573458816,255.41095573458816,255.41095573458816,255.41095573458816,65,65,65,65,3,0.0
232.65461816244317,232.65461816244317,232.65461816244317,232.65461816244317,60,60,60,60,3,0.0
326.78648470425634,326.78648470425634,326.78648470425634,326.78648470425634,75,75,75,75,3,0.0
578.3219109802261,578.3219109802261,578.3219109802261,578.3219109802261,115,115,115,115,3,0.0
364.44395589768595,364.44395589768595,364.44395589768595,364.44395589768595,74,74,74,74,3,0.0
468.65368886539426,468.65368886539426,468.65368886539426,468.65368886539426,130,130,130,130,3,0.0
359.8833876495901,359.8833876495901,359.8833876495901,359.8833876495901,56,56,56,56,3,0.0
400.4192846392289,400.4192846392289,400.4192846392289,400.4192846392289,102,102,102,102,3,0.0
249.24678339478263,249.24678339478263,249.24678339478263,249.24678339478263,76,76,76,76,4,0.0
510.8733845809815,510.8733845809815,510.8733845809815,510.8733845809815,128,128,128,128,4,0.0
319.5369672231009,319.5369672231009,319.5369672231009,319.5369672231009,64,64,64,64,4,0.0
484.0562993946866,484.0562993946866,484.0562993946866,484.0562993946866,76,76,76,76,4,0.0
461.340075501452,461.340075501452,461.340075501452,461.340075501452,123,123,123,123,4,0.0
459.68605106289425,459.68605106289425,459.68605106289425,459.68605106289425,94,94,94,94,4,0.0
262.75517765716717,262.75517765716717,262.75517765716717,262.75517765716717,58,58,58,58,4,0.0
260.1285740506301,260.1285740506301,260.1285740506301,260.1285740506301,56,56,56,56,4,0.0
306.33486184403506,306.33486184403506,306.33486184403506,306.33486184403506,72,72,72,72,4,0.0
261.71855790912605,261.71855790912605,261.71855790912605,261.71855790912605,66,66,66,66,4,0.0
474.79883228488563,474.79883228488563,474.79883228488563,474.79883228488563,125,125,125,125,5,0.0
295.39813634637005,295.39813634637005,295.39813634637005,295.39813634637005,56,56,56,56,5,0.0
471.4129826396037,471.4129826396037,471.4129826396037,471.4129826396037,122,122,122,122,5,0.0
553.0974754019379,553.0974754019379,553.0974754019379,553.0974754019379,139,139,139,139,5,0.0
244.6539630194428,244.6539630194428,244.6539630194428,244.6539630194428,62,62,62,62,5,0.0
347.7592018781522,347.7592018781522,347.7592018781522,347.7592018781522,83,83,83,83,5,0.0
429.84270740929924,429.84270740929924,429.84270740929924,429.84270740929924,93,93,93,93,5,0.0
286.2742628551643,286.2742628551643,286.2742628551643,286.2742628551643,66,66,66,66,5,0.0
206.54058213539943,206.54058213539943,206.54058213539943,206.54058213539943,62,62,62,62,5,0.0
462.13766598147015,462.13766598147015,462.13766598147015,462.13766598147015,117,117,117,117,5,0.0
434.6465818531395,434.6465818531395,434.6465818531395,434.6465818531395,106,106,106,106,6,0.0
197.50426234482788,197.50426234482788,197.50426234482788,197.50426234482788,58,58,58,58,6,0.0
546.2330932594937,546.2330932594937,546.2330932594937,546.2330932594937,124,124,124,124,6,0.0
463.5063127435291,463.5063127435291,463.5063127435291,463.5063127435291,93,93,93,93,6,0.0
472.877195958645,472.877195958645,472.877195958645,472.877195958645,112,112,112,112,6,0.0
282.08536412270394,282.08536412270394,282.08536412270394,282.08536412270394,79,79,79,79,6,0.0
197.49530191575053,197.49530191575053,197.49530191575053,197.49530191575053,56,56,56,56,6,0.0
265.3847178916875,265.3847178916875,265.3847178916875,265.3847178916875,70,70,70,70,6,0.0
437.15677399157846,437.15677399157846,437.15677399157846,437.15677399157846,71,71,71,71,6,0.0
355.188923387298,355.188923387298,355.188923387298,355.188923387298,83,83,83,83,6,0.0
357.4915329508163,357.4915329508163,357.4915329508163,357.4915329508163,67,67,67,67,7,0.0
592.9816580739183,592.9816580739183,592.9816580739183,592.9816580739183,126,126,126,126,7,0.0
273.9592098658149,273.9592098658149,273.9592098658149,273.9592098658149,71,71,71,71,7,0.0
468.80984088643135,468.80984088643135,468.80984088643135,468.80984088643135,130,130,130,130,7,0.0
326.09644175683354,326.09644175683354,326.09644175683354,326.09644175683354,75,75,75,75,7,0.0
310.5282616139052,310.5282616139052,310.5282616139052,310.5282616139052,70,70,70,70,7,0.0
507.9243635707793,507.9243635707793,507.9243635707793,507.9243635707793,140,140,140,140,7,0.0
237.24543181905076,237.24543181905076,237.24543181905076,237.24543181905076,67,67,67,67,7,0.0
204.5316997020588,204.5316997020588,204.5316997020588,204.5316997020588,50,50,50,50,7,0.0
619.9254465269078,619.9254465269078,619.9254465269078,619.9254465269078,152,152,152,152,7,0.0
368.5503879481176,368.5503879481176,368.5503879481176,368.5503879481176,64,64,64,64,8,0.0
337.64361250542396,337.64361250542396,337.64361250542396,337.64361250542396,73,73,73,73,8,0.0
411.4164784157725,411.4164784157725,411.4164784157725,411.4164784157725,88,88,88,88,8,0.0
286.3571039626047,286.3571039626047,286.3571039626047,286.3571039626047,59,59,59,59,8,0.0
332.79180911604243,332.79180911604243,332.79180911604243,332.79180911604243,73,73,73,73,8,0.0
644.6786493475622,644.6786493475622,644.6786493475622,644.6786493475622,138,138,138,138,8,0.0
416.4109378529167,416.4109378529167,416.4109378529167,416.4109378529167,62,62,62,62,8,0.0
209.5989332283912,209.5989332283912,209.5989332283912,209.5989332283912,59,59,59,59,8,0.0
250.66311008891432,250.66311008891432,250.66311008891432,250.66311008891432,66,66,66,66,8,0.0
312.2350742283234,312.2350742283234,312.2350742283234,312.2350742283234,78,78,78,78,8,0.0
447.21891350212377,447.21891350212377,447.21891350212377,447.21891350212377,85,85,85,85,9,0.0
383.14820334938395,383.14820334938395,383.14820334938395,383.14820334938395,95,95,95,95,9,0.0
551.5594838290373,551.5594838290373,551.5594838290373,551.5594838290373,107,107,107,107,9,0.0
179.74914755307606,179.74914755307606,179.74914755307606,179.74914755307606,52,52,52,52,9,0.0
308.24087087044694,308.24087087044694,308.24087087044694,308.24087087044694,71,71,71,71,9,0.0
401.57706464438513,401.57706464438513,401.57706464438513,401.57706464438513,91,91,91,91,9,0.0
247.62685059761824,247.62685059761824,247.62685059761824,247.62685059761824,55,55,55,55,9,0.0
384.3900418847951,384.3900418847951,384.3900418847951,384.3900418847951,95,95,95,95,9,0.0
347.0359284313162,347.0359284313162,347.0359284313162,347.0359284313162,85,85,85,85,9,0.0
543.0340082505473,543.0340082505473,543.0340082505473,543.0340082505473,116,116,116,116,9,0.0
640.4800228843552,640.4800228843552,640.4800228843552,640.4800228843552,132,132,132,132,0,0.5
370.0943895688576,370.0943895688576,370.0943895688576,370.0943895688576,90,90,90,90,0,0.5
225.99463300215203,225.99463300215203,225.99463300215203,225.99463300215203,62,62,62,62,0,0.5
465.40820721731865,465.40820721731865,465.40820721731865,465.40820721731865,100,100,100,100,0,0.5
379.2267414893483,379.2267414893483,379.2267414893483,379.2267414893483,106,106,106,106,0,0.5
813.2739351380511,378.31785295030545,371.1320069142291,336.6956048463009,68,78,76,68,0,0.5
470.84185184900815,470.84185184900815,470.84185184900815,470.84185184900815,108,108,108,108,0,0.5
409.9275074448356,409.9275074448356,409.9275074448356,409.9275074448356,102,102,102,102,0,0.5
328.2312769603659,328.2312769603659,328.2312769603659,328.2312769603659,102,102,102,102,0,0.5
625.9016596869305,552.0846073324121,541.0518059080869,462.9040076426301,96,111,106,101,0,0.5
226.21989109730936,226.21989109730936,226.21989109730936,226.21989109730936,54,54,54,54,1,0.5
755.2127550980808,469.1193405549231,469.1193405549231,466.37756907020474,123,118,118,121,1,0.5
449.0010727985797,293.07696907409513,293.07696907409513,273.03535715193266,76,70,70,62,1,0.5
428.3594954702402,428.3594954702402,428.3594954702402,428.3594954702402,107,107,107,107,1,0.5
381.27187588510594,381.27187588510594,381.27187588510594,381.27187588510594,79,79,79,79,1,0.5
344.60992741719053,344.60992741719053,344.60992741719053,344.60992741719053,71,71,71,71,1,0.5
178.32077132782342,178.32077132782342,178.32077132782342,178.32077132782342,65,65,65,65,1,0.5
234.53789687250614,234.53789687250614,234.53789687250614,234.53789687250614,56,56,56,56,1,0.5
433.5386940135351,433.5386940135351,433.5386940135351,433.5386940135351,108,108,108,108,1,0.5
775.6650658509959,548.3149680352636,548.3149680352636,542.756509280667,92,97,97,93,1,0.5
296.41803421931166,296.41803421931166,296.41803421931166,296.41803421931166,62,62,62,62,2,0.5
274.8002722497483,274.8002722497483,274.8002722497483,274.8002722497483,62,62,62,62,2,0.5
335.39014542792614,335.39014542792614,335.39014542792614,335.39014542792614,72,72,72,72,2,0.5
450.5953606628827,450.5953606628827,450.5953606628827,450.5953606628827,100,100,100,100,2,0.5
420.14316042877596,420.14316042877596,420.14316042877596,420.14316042877596,93,93,93,93,2,0.5
571.1876569796333,391.2386852674525,391.2386852674525,391.2386852674525,91,91,91,91,2,0.5
408.4127664717215,408.4127664717215,408.4127664717215,408.4127664717215,91,91,91,91,2,0.5
207.1776636720898,207.1776636720898,207.1776636720898,207.1776636720898,55,55,55,55,2,0.5
267.06783832278643,267.06783832278643,267.06783832278643,267.06783832278643,59,59,59,59,2,0.5
576.9045338164893,337.576181033455,337.54247804480354,337.54247804480354,70,71,71,71,2,0.5
528.3048254985902,528.3048254985902,528.3048254985902,528.3048254985902,127,127,127,127,3,0.5
325.8873108996734,325.8873108996734,325.8873108996734,325.8873108996734,75,75,75,75,3,0.5
316.97934227572614,316.97934227572614,316.97934227572614,316.97934227572614,88,88,88,88,3,0.5
566.5162858062413,566.5162858062413,566.5162858062413,566.5162858062413,135,135,135,135,3,0.5
300.0790060750668,300.0790060750668,300.0790060750668,300.0790060750668,71,71,71,71,3,0.5
421.4362666285166,421.4362666285166,421.4362666285166,421.4362666285166,71,71,71,71,3,0.5
412.076404326411,412.076404326411,412.076404326411,412.076404326411,104,104,104,104,3,0.5
584.0565987308097,361.38629193632534,361.38629193632534,348.2565815614852,84,87,87,79,3,0.5
413.0441196559645,413.0441196559645,413.0441196559645,413.0441196559645,86,86,86,86,3,0.5
