L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
158.7593298677734,158.7593298677734,158.7593298677734,158.7593298677734,54,54,54,54,0,0.0
231.21151981556673,231.21151981556673,231.21151981556673,231.21151981556673,57,57,57,57,0,0.0
193.30642931071955,193.30642931071955,193.30642931071955,193.30642931071955,56,56,56,56,0,0.0
231.46891422491063,231.46891422491063,231.46891422491063,231.46891422491063,60,60,60,60,0,0.0
284.17475301993807,284.17475301993807,284.17475301993807,284.17475301993807,55,55,55,55,0,0.0
214.314086599845,214.314086599845,214.314086599845,214.314086599845,59,59,59,59,0,0.0
358.4679228234678,358.4679228234678,358.4679228234678,358.4679228234678,79,79,79,79,0,0.0
276.2329779459757,276.2329779459757,276.2329779459757,276.2329779459757,82,82,82,82,0,0.0
227.70284339183272,227.70284339183272,227.70284339183272,227.70284339183272,70,70,70,70,0,0.0
279.66370312658347,279.66370312658347,279.66370312658347,279.66370312658347,64,64,64,64,0,0.0
278.54295825452004,278.54295825452004,278.54295825452004,278.54295825452004,79,79,79,79,0,0.0
201.2129809789523,201.2129809789523,201.2129809789523,201.2129809789523,55,55,55,55,0,0.0
144.94389968168468,144.94389968168468,144.94389968168468,144.94389968168468,52,52,52,52,0,0.0
273.68852410627227,273.68852410627227,273.68852410627227,273.68852410627227,70,70,70,70,0,0.0
246.8532898637196,246.8532898637196,246.8532898637196,246.8532898637196,73,73,73,73,0,0.0
143.51894360655334,143.51894360655334,143.51894360655334,143.51894360655334,53,53,53,53,0,0.0
172.05262486602024,172.05262486602024,172.05262486602024,172.05262486602024,54,54,54,54,0,0.0
212.58897649409954,212.58897649409954,212.58897649409954,212.58897649409954,65,65,65,65,0,0.0
235.66611815828816,235.66611815828816,235.66611815828816,235.66611815828816,69,69,69,69,0,0.0
257.2423963123759,257.2423963123759,257.2423963123759,257.2423963123759,74,74,74,74,0,0.0
252.73670841088608,252.73670841088608,252.73670841088608,252.73670841088608,81,81,81,81,1,0.0
271.1048947183998,271.1048947183998,271.1048947183998,271.1048947183998,60,60,60,60,1,0.0
313.66286744195634,313.66286744195634,313.66286744195634,313.66286744195634,70,70,70,70,1,0.0
288.0108908015693,288.0108908015693,288.0108908015693,288.0108908015693,64,64,64,64,1,0.0
243.7177273004567,243.7177273004567,243.7177273004567,243.7177273004567,59,59,59,59,1,0.0
