L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
222.4732672184708,222.4732672184708,222.4732672184708,222.4732672184708,55,55,55,55,0,0.0
196.91460670210577,196.91460670210577,196.91460670210577,196.91460670210577,50,50,50,50,0,0.0
206.43139710690235,206.43139710690235,206.43139710690235,206.43139710690235,52,52,52,52,0,0.0
311.8207386892703,311.8207386892703,311.8207386892703,311.8207386892703,54,54,54,54,0,0.0
353.14746772480675,353.14746772480675,353.14746772480675,353.14746772480675,55,55,55,55,0,0.0
302.1132016828322,302.1132016828322,302.1132016828322,302.1132016828322,54,54,54,54,0,0.0
355.85756845933486,355.85756845933486,355.85756845933486,355.85756845933486,66,66,66,66,0,0.0
213.59404775972294,213.59404775972294,213.59404775972294,213.59404775972294,55,55,55,55,0,0.0
375.6374711371813,375.6374711371813,375.6374711371813,375.6374711371813,63,63,63,63,0,0.0
337.3229087536178,337.3229087536178,337.3229087536178,337.3229087536178,62,62,62,62,0,0.0
402.3519693571856,402.3519693571856,402.3519693571856,402.3519693571856,79,79,79,79,0,0.0
237.1363288831065,237.1363288831065,237.1363288831065,237.1363288831065,50,50,50,50,0,0.0
274.4763698490932,274.4763698490932,274.4763698490932,274.4763698490932,53,53,53,53,0,0.0
237.40547329318122,237.40547329318122,237.40547329318122,237.40547329318122,52,52,52,52,0,0.0
370.41057707719835,370.41057707719835,370.41057707719835,370.41057707719835,71,71,71,71,0,0.0
260.4887881071079,260.4887881071079,260.4887881071079,260.4887881071079,71,71,71,71,0,0.0
168.9431510647576,168.9431510647576,168.9431510647576,168.9431510647576,54,54,54,54,0,0.0
232.57449078171481,232.57449078171481,232.57449078171481,232.57449078171481,62,62,62,62,0,0.0
339.13373046671353,339.13373046671353,339.13373046671353,339.13373046671353,51,51,51,51,0,0.0
251.61968862363108,251.61968862363108,251.61968862363108,251.61968862363108,53,53,53,53,0,0.0
193.97242307723482,193.97242307723482,193.97242307723482,193.97242307723482,50,50,50,50,1,0.0
166.6782432560657,166.6782432560657,166.6782432560657,166.6782432560657,51,51,51,51,1,0.0
254.86577768590067,254.86577768590067,254.86577768590067,254.86577768590067,55,55,55,55,1,0.0
315.01500891203466,315.01500891203466,315.01500891203466,315.01500891203466,54,54,54,54,1,0.0
285.6400393338157,285.6400393338157,285.6400393338157,285.6400393338157,57,57,57,57,1,0.0
