L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
180.62632081454746,180.62632081454746,180.62632081454746,180.62632081454746,51,51,51,51,0,0.0
196.74086135678996,196.74086135678996,196.74086135678996,196.74086135678996,51,51,51,51,0,0.0
241.50830259193262,241.50830259193262,241.50830259193262,241.50830259193262,58,58,58,58,0,0.0
209.48539345370452,209.48539345370452,209.48539345370452,209.48539345370452,57,57,57,57,0,0.0
181.2925270044462,181.2925270044462,181.2925270044462,181.2925270044462,55,55,55,55,0,0.0
258.0812421008791,258.0812421008791,258.0812421008791,258.0812421008791,60,60,60,60,0,0.0
213.66871714504833,213.66871714504833,213.66871714504833,213.66871714504833,60,60,60,60,0,0.0
164.41946128029468,164.41946128029468,164.41946128029468,164.41946128029468,50,50,50,50,0,0.0
209.08727353919025,209.08727353919025,209.08727353919025,209.08727353919025,51,51,51,51,0,0.0
195.9749114598914,195.9749114598914,195.9749114598914,195.9749114598914,50,50,50,50,0,0.0
197.46997330711017,197.46997330711017,197.46997330711017,197.46997330711017,56,56,56,56,0,0.0
169.92190116708173,169.92190116708173,169.92190116708173,169.92190116708173,52,52,52,52,0,0.0
186.7063801499906,186.7063801499906,186.7063801499906,186.7063801499906,51,51,51,51,0,0.0
249.08232021623232,249.08232021623232,249.08232021623232,249.08232021623232,69,69,69,69,0,0.0
214.3009218595325,214.3009218595325,214.3009218595325,214.3009218595325,53,53,53,53,0,0.0
210.53288107536778,210.53288107536778,210.53288107536778,210.53288107536778,55,55,55,55,0,0.0
254.18855109607185,254.18855109607185,254.18855109607185,254.18855109607185,61,61,61,61,0,0.0
213.86308868841442,213.86308868841442,213.86308868841442,213.86308868841442,66,66,66,66,0,0.0
238.8758030111593,238.8758030111593,238.8758030111593,238.8758030111593,60,60,60,60,0,0.0
260.59174850897523,260.59174850897523,260.59174850897523,260.59174850897523,65,65,65,65,0,0.0
195.03439646801692,195.03439646801692,195.03439646801692,195.03439646801692,50,50,50,50,1,0.0
199.99512933648776,199.99512933648776,199.99512933648776,199.99512933648776,55,55,55,55,1,0.0
232.83464043072104,232.83464043072104,232.83464043072104,232.83464043072104,66,66,66,66,1,0.0
232.377902908507,232.377902908507,232.377902908507,232.377902908507,56,56,56,56,1,0.0
201.7136795137806,201.7136795137806,201.7136795137806,201.7136795137806,59,59,59,59,1,0.0
188.3096183876889,188.3096183876889,188.3096183876889,188.3096183876889,52,52,52,52,1,0.0
376.5016385798476,376.5016385798476,376.5016385798476,376.5016385798476,60,60,60,60,1,0.0
198.38172012996796,198.38172012996796,198.38172012996796,198.38172012996796,51,51,51,51,1,0.0
169.90193192319515,169.90193192319515,169.90193192319515,169.90193192319515,53,53,53,53,1,0.0
257.0367536889509,257.0367536889509,257.0367536889509,257.0367536889509,53,53,53,53,1,0.0
242.89379229933922,242.89379229933922,242.89379229933922,242.89379229933922,59,59,59,59,1,0.0
197.45063837787134,197.45063837787134,197.45063837787134,197.45063837787134,50,50,50,50,1,0.0
173.55944988562572,173.55944988562572,173.55944988562572,173.55944988562572,55,55,55,55,1,0.0
202.59632138039763,202.59632138039763,202.59632138039763,202.59632138039763,55,55,55,55,1,0.0
170.45586184630727,170.45586184630727,170.45586184630727,170.45586184630727,51,51,51,51,1,0.0
251.10581157816205,251.10581157816205,251.10581157816205,251.10581157816205,62,62,62,62,1,0.0
173.2175711430119,173.2175711430119,173.2175711430119,173.2175711430119,53,53,53,53,1,0.0
201.8253706587615,201.8253706587615,201.8253706587615,201.8253706587615,53,53,53,53,1,0.0
203.04383591619833,203.04383591619833,203.04383591619833,203.04383591619833,53,53,53,53,1,0.0
218.52690641709694,218.52690641709694,218.52690641709694,218.52690641709694,58,58,58,58,1,0.0
222.13091183276836,222.13091183276836,222.13091183276836,222.13091183276836,52,52,52,52,2,0.0
249.7889440428577,249.7889440428577,249.7889440428577,249.7889440428577,53,53,53,53,2,0.0
194.03485749607012,194.03485749607012,194.03485749607012,194.03485749607012,53,53,53,53,2,0.0
190.7596837847785,190.7596837847785,190.7596837847785,190.7596837847785,58,58,58,58,2,0.0
226.60828290513174,226.60828290513174,226.60828290513174,226.60828290513174,51,51,51,51,2,0.0
191.26621315834336,191.26621315834336,191.26621315834336,191.26621315834336,53,53,53,53,2,0.0
247.22294385536736,247.22294385536736,247.22294385536736,247.22294385536736,52,52,52,52,2,0.0
208.56023893466096,208.56023893466096,208.56023893466096,208.56023893466096,50,50,50,50,2,0.0
238.69916419443993,238.69916419443993,238.69916419443993,238.69916419443993,52,52,52,52,2,0.0
221.42713356598654,221.42713356598654,221.42713356598654,221.42713356598654,50,50,50,50,2,0.0
200.8098854676643,200.8098854676643,200.8098854676643,200.8098854676643,58,58,58,58,2,0.0
201.44380081596657,201.44380081596657,201.44380081596657,201.44380081596657,50,50,50,50,2,0.0
261.8053988212863,261.8053988212863,261.8053988212863,261.8053988212863,65,65,65,65,2,0.0
264.14791441344204,264.14791441344204,264.14791441344204,264.14791441344204,60,60,60,60,2,0.0
236.96709441849697,236.96709441849697,236.96709441849697,236.96709441849697,54,54,54,54,2,0.0
218.76940220784277,218.76940220784277,218.76940220784277,218.76940220784277,56,56,56,56,2,0.0
220.8034207925989,220.8034207925989,220.8034207925989,220.8034207925989,53,53,53,53,2,0.0
187.78874328406408,187.78874328406408,187.78874328406408,187.78874328406408,52,52,52,52,2,0.0
220.38503182138115,220.38503182138115,220.38503182138115,220.38503182138115,51,51,51,51,2,0.0
188.29954620888043,188.29954620888043,188.29954620888043,188.29954620888043,54,54,54,54,2,0.0
189.9514270016582,189.9514270016582,189.9514270016582,189.9514270016582,52,52,52,52,3,0.0
263.6560973012647,263.6560973012647,263.6560973012647,263.6560973012647,63,63,63,63,3,0.0
195.3087410303175,195.3087410303175,195.3087410303175,195.3087410303175,60,60,60,60,3,0.0
210.8330155275872,210.8330155275872,210.8330155275872,210.8330155275872,50,50,50,50,3,0.0
244.42210610973,244.42210610973,244.42210610973,244.42210610973,53,53,53,53,3,0.0
308.61622765915484,308.61622765915484,308.61622765915484,308.61622765915484,66,66,66,66,3,0.0
234.31664984292888,234.31664984292888,234.31664984292888,234.31664984292888,64,64,64,64,3,0.0
206.1263162938468,206.1263162938468,206.1263162938468,206.1263162938468,58,58,58,58,3,0.0
246.7277841008734,246.7277841008734,246.7277841008734,246.7277841008734,67,67,67,67,3,0.0
204.80830014908602,204.80830014908602,204.80830014908602,204.80830014908602,57,57,57,57,3,0.0
243.0266572724855,243.0266572724855,243.0266572724855,243.0266572724855,67,67,67,67,3,0.0
184.37654839899514,184.37654839899514,184.37654839899514,184.37654839899514,58,58,58,58,3,0.0
246.32894976162856,246.32894976162856,246.32894976162856,246.32894976162856,52,52,52,52,3,0.0
182.25077127974293,182.25077127974293,182.25077127974293,182.25077127974293,52,52,52,52,3,0.0
264.05655151348986,264.05655151348986,264.05655151348986,264.05655151348986,60,60,60,60,3,0.0
231.60728821890746,231.60728821890746,231.60728821890746,231.60728821890746,62,62,62,62,3,0.0
204.24967760894586,204.24967760894586,204.24967760894586,204.24967760894586,55,55,55,55,3,0.0
191.61529129819482,191.61529129819482,191.61529129819482,191.61529129819482,54,54,54,54,3,0.0
221.9307729380584,221.9307729380584,221.9307729380584,221.9307729380584,53,53,53,53,3,0.0
220.08909321776815,220.08909321776815,220.08909321776815,220.08909321776815,53,53,53,53,3,0.0
173.83788152807824,173.83788152807824,173.83788152807824,173.83788152807824,50,50,50,50,4,0.0
263.95584978446817,263.95584978446817,263.95584978446817,263.95584978446817,60,60,60,60,4,0.0
217.7276431042749,217.7276431042749,217.7276431042749,217.7276431042749,53,53,53,53,4,0.0
253.30722521823856,253.30722521823856,253.30722521823856,253.30722521823856,71,71,71,71,4,0.0
202.92166634885493,202.92166634885493,202.92166634885493,202.92166634885493,50,50,50,50,4,0.0
244.66811960940998,244.66811960940998,244.66811960940998,244.66811960940998,52,52,52,52,4,0.0
194.58252821870724,194.58252821870724,194.58252821870724,194.58252821870724,55,55,55,55,4,0.0
237.41802891009144,237.41802891009144,237.41802891009144,237.41802891009144,55,55,55,55,4,0.0
262.67974532004956,262.67974532004956,262.67974532004956,262.67974532004956,57,57,57,57,4,0.0
150.86122720967356,150.86122720967356,150.86122720967356,150.86122720967356,50,50,50,50,4,0.0
229.7424744940971,229.7424744940971,229.7424744940971,229.7424744940971,57,57,57,57,4,0.0
208.5096233904215,208.5096233904215,208.5096233904215,208.5096233904215,51,51,51,51,4,0.0
251.57886454604807,251.57886454604807,251.57886454604807,251.57886454604807,52,52,52,52,4,0.0
238.1557286537068,238.1557286537068,238.1557286537068,238.1557286537068,60,60,60,60,4,0.0
243.74293489040951,243.74293489040951,243.74293489040951,243.74293489040951,62,62,62,62,4,0.0
228.04292509218698,228.04292509218698,228.04292509218698,228.04292509218698,57,57,57,57,4,0.0
194.61049950783286,194.61049950783286,194.61049950783286,194.61049950783286,51,51,51,51,4,0.0
207.4488663264934,207.4488663264934,207.4488663264934,207.4488663264934,57,57,57,57,4,0.0
190.24151343117668,190.24151343117668,190.24151343117668,190.24151343117668,52,52,52,52,4,0.0
264.19501489863933,264.19501489863933,264.19501489863933,264.19501489863933,64,64,64,64,4,0.0
202.97480840070216,202.97480840070216,202.97480840070216,202.97480840070216,53,53,53,53,5,0.0
197.8560645579732,197.8560645579732,197.8560645579732,197.8560645579732,56,56,56,56,5,0.0
246.89544478248314,246.89544478248314,246.89544478248314,246.89544478248314,56,56,56,56,5,0.0
209.66686285744703,209.66686285744703,209.66686285744703,209.66686285744703,53,53,53,53,5,0.0
