L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
288.55131736119336,288.55131736119336,288.55131736119336,288.55131736119336,51,51,51,51,0,0.0
187.2376965921989,187.2376965921989,187.2376965921989,187.2376965921989,52,52,52,52,0,0.0
286.396925843211,286.396925843211,286.396925843211,286.396925843211,52,52,52,52,0,0.0
225.11877091673813,225.11877091673813,225.11877091673813,225.11877091673813,51,51,51,51,0,0.0
293.48076623843457,293.48076623843457,293.48076623843457,293.48076623843457,51,51,51,51,0,0.0
226.43993617499552,226.43993617499552,226.43993617499552,226.43993617499552,52,52,52,52,0,0.0
273.83987639188865,273.83987639188865,273.83987639188865,273.83987639188865,58,58,58,58,0,0.0
406.3196118830506,406.3196118830506,406.3196118830506,406.3196118830506,75,75,75,75,0,0.0
324.00194838312314,324.00194838312314,324.00194838312314,324.00194838312314,65,65,65,65,0,0.0
394.854531839195,394.854531839195,394.854531839195,394.854531839195,92,92,92,92,0,0.0
335.3594509249932,335.3594509249932,335.3594509249932,335.3594509249932,74,74,74,74,0,0.0
306.9857473868281,306.9857473868281,306.9857473868281,306.9857473868281,68,68,68,68,0,0.0
389.05279815417595,389.05279815417595,389.05279815417595,389.05279815417595,82,82,82,82,0,0.0
315.4211492942346,315.4211492942346,315.4211492942346,315.4211492942346,52,52,52,52,0,0.0
342.10658700204414,342.10658700204414,342.10658700204414,342.10658700204414,65,65,65,65,0,0.0
272.80587671884996,272.80587671884996,272.80587671884996,272.80587671884996,51,51,51,51,0,0.0
243.76696588237897,243.76696588237897,243.76696588237897,243.76696588237897,58,58,58,58,0,0.0
332.4703045505038,332.4703045505038,332.4703045505038,332.4703045505038,63,63,63,63,0,0.0
328.17310486791285,328.17310486791285,328.17310486791285,328.17310486791285,72,72,72,72,0,0.0
399.5383343623888,399.5383343623888,399.5383343623888,399.5383343623888,87,87,87,87,0,0.0
251.13813696515075,251.13813696515075,251.13813696515075,251.13813696515075,56,56,56,56,1,0.0
244.19188963180764,244.19188963180764,244.19188963180764,244.19188963180764,59,59,59,59,1,0.0
526.2088091693264,526.2088091693264,526.2088091693264,526.2088091693264,94,94,94,94,1,0.0
275.67314354079394,275.67314354079394,275.67314354079394,275.67314354079394,51,51,51,51,1,0.0
380.69607804025225,380.69607804025225,380.69607804025225,380.69607804025225,66,66,66,66,1,0.0
516.8700168876366,516.8700168876366,516.8700168876366,516.8700168876366,90,90,90,90,1,0.0
317.3419514473377,317.3419514473377,317.3419514473377,317.3419514473377,67,67,67,67,1,0.0
418.70481837690954,418.70481837690954,418.70481837690954,418.70481837690954,83,83,83,83,1,0.0
273.9086876350325,273.9086876350325,273.9086876350325,273.9086876350325,68,68,68,68,1,0.0
225.2426448425501,225.2426448425501,225.2426448425501,225.2426448425501,57,57,57,57,1,0.0
