L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
171.37899087447744,171.37899087447744,171.37899087447744,171.37899087447744,49,49,49,49,0,0.0
229.68083614730634,229.68083614730634,229.68083614730634,229.68083614730634,76,76,76,76,0,0.0
169.71892002610937,169.71892002610937,169.71892002610937,169.71892002610937,56,56,56,56,0,0.0
206.13992553741144,206.13992553741144,206.13992553741144,206.13992553741144,51,51,51,51,0,0.0
160.11234404106293,160.11234404106293,160.11234404106293,160.11234404106293,55,55,55,55,0,0.0
130.34069101503917,130.34069101503917,130.34069101503917,130.34069101503917,49,49,49,49,0,0.0
152.74251490096185,152.74251490096185,152.74251490096185,152.74251490096185,42,42,42,42,0,0.0
238.0399294510587,238.0399294510587,238.0399294510587,238.0399294510587,65,65,65,65,0,0.0
251.9121136128177,251.9121136128177,251.9121136128177,251.9121136128177,46,46,46,46,0,0.0
236.57925801137478,236.57925801137478,236.57925801137478,236.57925801137478,64,64,64,64,0,0.0
250.7994162009762,250.7994162009762,250.7994162009762,250.7994162009762,69,69,69,69,0,0.0
147.64968733083973,147.64968733083973,147.64968733083973,147.64968733083973,41,41,41,41,0,0.0
129.6156806774157,129.6156806774157,129.6156806774157,129.6156806774157,47,47,47,47,0,0.0
254.16809047467999,254.16809047467999,254.16809047467999,254.16809047467999,87,87,87,87,0,0.0
209.86860434230303,209.86860434230303,209.86860434230303,209.86860434230303,68,68,68,68,0,0.0
131.71316591074122,131.71316591074122,131.71316591074122,131.71316591074122,41,41,41,41,0,0.0
181.24447820924843,181.24447820924843,181.24447820924843,181.24447820924843,42,42,42,42,0,0.0
189.55211585233843,189.55211585233843,189.55211585233843,189.55211585233843,50,50,50,50,0,0.0
192.30471518594067,192.30471518594067,192.30471518594067,192.30471518594067,47,47,47,47,0,0.0
151.85689838624685,151.85689838624685,151.85689838624685,151.85689838624685,53,53,53,53,0,0.0
145.64662371511503,145.64662371511503,145.64662371511503,145.64662371511503,42,42,42,42,0,0.0
149.40394279714792,149.40394279714792,149.40394279714792,149.40394279714792,49,49,49,49,0,0.0
115.52501462486288,115.52501462486288,115.52501462486288,115.52501462486288,46,46,46,46,0,0.0
267.047985934178,267.047985934178,267.047985934178,267.047985934178,63,63,63,63,0,0.0
150.2635559821527,150.2635559821527,150.2635559821527,150.2635559821527,52,52,52,52,0,0.0
155.57843100641995,155.57843100641995,155.57843100641995,155.57843100641995,50,50,50,50,1,0.0
138.0554957760187,138.0554957760187,138.0554957760187,138.0554957760187,44,44,44,44,1,0.0
183.47757873918547,183.47757873918547,183.47757873918547,183.47757873918547,54,54,54,54,1,0.0
198.7831256332114,198.7831256332114,198.7831256332114,198.7831256332114,45,45,45,45,1,0.0
147.53609068172437,147.53609068172437,147.53609068172437,147.53609068172437,41,41,41,41,1,0.0
217.5724573663923,217.5724573663923,217.5724573663923,217.5724573663923,59,59,59,59,1,0.0
118.73947558840837,118.73947558840837,118.73947558840837,118.73947558840837,45,45,45,45,1,0.0
