L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
838.4578587575544,838.4578587575544,838.4578587575544,838.4578587575544,250,250,250,250,0,0.0
774.8759511053973,774.8759511053973,774.8759511053973,774.8759511053973,137,137,137,137,0,0.0
556.8545044281568,556.8545044281568,556.8545044281568,556.8545044281568,95,95,95,95,0,0.0
392.9607280671086,392.9607280671086,392.9607280671086,392.9607280671086,116,116,116,116,0,0.0
1035.4522424519835,1035.4522424519835,1035.4522424519835,1035.4522424519835,279,279,279,279,0,0.0
801.6230362591431,801.6230362591431,801.6230362591431,801.6230362591431,132,132,132,132,0,0.0
954.2875983749002,954.2875983749002,954.2875983749002,954.2875983749002,241,241,241,241,0,0.0
859.3177646099199,859.3177646099199,859.3177646099199,859.3177646099199,214,214,214,214,0,0.0
523.6902824777856,523.6902824777856,523.6902824777856,523.6902824777856,119,119,119,119,0,0.0
556.2458209852114,556.2458209852114,556.2458209852114,556.2458209852114,117,117,117,117,0,0.0
566.0248094845371,566.0248094845371,566.0248094845371,566.0248094845371,152,152,152,152,1,0.0
483.52642852758385,483.52642852758385,483.52642852758385,483.52642852758385,122,122,122,122,1,0.0
563.1971508667681,563.1971508667681,563.1971508667681,563.1971508667681,143,143,143,143,1,0.0
894.8500970085639,894.8500970085639,894.8500970085639,894.8500970085639,259,259,259,259,1,0.0
529.893693983557,529.893693983557,529.893693983557,529.893693983557,86,86,86,86,1,0.0
925.8235146314929,925.8235146314929,925.8235146314929,925.8235146314929,245,245,245,245,1,0.0
405.2562011357999,405.2562011357999,405.2562011357999,405.2562011357999,80,80,80,80,1,0.0
455.7558152250606,455.7558152250606,455.7558152250606,455.7558152250606,139,139,139,139,1,0.0
513.9899859498091,513.9899859498091,513.9899859498091,513.9899859498091,122,122,122,122,1,0.0
367.18955622441877,367.18955622441877,367.18955622441877,367.18955622441877,120,120,120,120,1,0.0
491.7438771168386,491.7438771168386,491.7438771168386,491.7438771168386,96,96,96,96,2,0.0
731.0460880495592,731.0460880495592,731.0460880495592,731.0460880495592,190,190,190,190,2,0.0
318.0287148700508,318.0287148700508,318.0287148700508,318.0287148700508,86,86,86,86,2,0.0
788.9211112192307,788.9211112192307,788.9211112192307,788.9211112192307,161,161,161,161,2,0.0
707.5588094081096,707.5588094081096,707.5588094081096,707.5588094081096,91,91,91,91,2,0.0
522.4504219615034,522.4504219615034,522.4504219615034,522.4504219615034,91,91,91,91,2,0.0
604.4274236244681,604.4274236244681,604.4274236244681,604.4274236244681,134,134,134,134,2,0.0
704.9116029856244,704.9116029856244,704.9116029856244,704.9116029856244,168,168,168,168,2,0.0
462.39047142341235,462.39047142341235,462.39047142341235,462.39047142341235,113,113,113,113,2,0.0
683.6566769175863,683.6566769175863,683.6566769175863,683.6566769175863,157,157,157,157,2,0.0
481.14198213338574,481.14198213338574,481.14198213338574,481.14198213338574,130,130,130,130,3,0.0
572.9014664916276,572.9014664916276,572.9014664916276,572.9014664916276,150,150,150,150,3,0.0
405.4546281773478,405.4546281773478,405.4546281773478,405.4546281773478,117,117,117,117,3,0.0
765.8583710158915,765.8583710158915,765.8583710158915,765.8583710158915,197,197,197,197,3,0.0
780.8914844603444,780.8914844603444,780.8914844603444,780.8914844603444,207,207,207,207,3,0.0
