L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation,rayon
1916.949379795501,1058.6280399776113,1058.6280399776113,851.2334547907378,124,163,163,148,0,5.0,0
1540.995195737834,1167.3373625760998,1167.3373625760998,770.5749498801049,120,159,159,133,0,5.0,0
1397.715479577826,475.72787020378036,475.72787020378036,352.28194148622475,81,81,81,87,0,5.0,0
1411.8765261577057,1095.048638092688,1095.048638092688,600.6806449554459,103,179,179,159,0,5.0,0
775.4955754298228,672.7911522411816,672.7911522411816,458.80996823143744,81,149,149,88,0,5.0,0
1132.7651961348997,768.9496072498248,768.9496072498248,541.7818027523521,109,117,117,143,0,5.0,0
826.9537239959618,581.169303874241,581.169303874241,431.0067227463865,89,99,99,96,0,5.0,0
2040.339703757472,696.2018513450126,696.2018513450126,536.9525874362545,118,144,144,118,0,5.0,0
889.1337546062766,656.2504940318505,656.2504940318505,566.0408158862741,94,127,127,84,0,5.0,0
984.403646540653,1057.1016587819465,1057.1016587819465,547.0071451095071,91,146,146,113,0,5.0,0
893.8706952772078,437.4400498184416,437.4400498184416,435.6099277760276,81,87,87,85,1,5.0,0
971.3561249630176,934.5048627411201,934.5048627411201,517.9339816656602,113,149,149,98,1,5.0,0
1311.7386542007348,957.8308029458988,957.8308029458988,697.2486694397647,118,191,191,138,1,5.0,0
929.9672243095821,726.1109348174974,726.1109348174974,463.9187737535651,96,104,104,100,1,5.0,0
1565.241532359361,1465.6818921326974,1465.6818921326974,794.0043155441881,111,217,217,126,1,5.0,0
1293.7195831214194,745.1436410799178,745.1436410799178,568.4910152454898,88,124,124,112,1,5.0,0
1198.3105541214748,764.122888281235,764.122888281235,531.06198182939,114,113,113,107,1,5.0,0
1140.0195435180817,872.5463517197234,872.5463517197234,641.537024141351,94,122,122,104,1,5.0,0
1582.9820764123385,919.3570018553689,919.3570018553689,702.8845277739526,125,143,143,115,1,5.0,0
544.7127216983321,544.7127216983321,544.7127216983321,432.068714167598,90,90,90,74,1,5.0,0
914.8100711592898,871.2828656777938,871.2828656777938,518.4172640863915,86,146,146,94,2,5.0,0
963.8194370184829,575.9398167503886,575.9398167503886,512.7608200909043,85,118,118,107,2,5.0,0
1313.8923987805654,1223.536693083162,1223.536693083162,815.7721320234954,92,128,128,103,2,5.0,0
1135.383566758083,671.1652643992478,671.1652643992478,454.2577643919012,97,127,127,119,2,5.0,0
1192.8218069566165,558.6334994105279,558.6334994105279,403.05741655035996,84,95,95,79,2,5.0,0
940.1633861313986,587.3293906180265,587.3293906180265,586.9455687579833,112,114,114,113,2,5.0,0
1182.5556163351448,930.2711827816634,930.2711827816634,687.662212820582,102,131,131,93,2,5.0,0
1461.3964914578917,1084.0818358906708,1084.0818358906708,642.4929209743916,104,162,162,96,2,5.0,0
1017.8153722149546,643.6294795362934,643.6294795362934,497.83825991435504,84,121,121,92,2,5.0,0
915.8269399336984,457.5863746985543,457.5863746985543,444.5377009800485,103,101,101,94,2,5.0,0
738.3861844139186,533.7426576719429,533.7426576719429,507.075926920127,106,108,108,98,3,5.0,0
703.0510190272495,571.3460039009683,571.3460039009683,358.46923536560894,85,107,107,89,3,5.0,0
1037.336688801545,1209.214140946726,1209.214140946726,522.8472202560804,86,152,152,98,3,5.0,0
1198.319912410938,995.1198623393184,995.1198623393184,568.5515669640257,99,150,150,98,3,5.0,0
835.0480674895433,400.9833665519337,400.9833665519337,370.53461627041327,81,85,85,88,3,5.0,0
978.502556217522,823.0760122272203,823.0760122272203,445.49746695290725,94,91,91,98,3,5.0,0
1275.991791459753,1005.133423063385,1005.133423063385,652.6100059080132,91,158,158,107,3,5.0,0
676.0670797163978,660.8072254779331,660.8072254779331,445.9274924608008,85,95,95,81,3,5.0,0
522.9931228485983,404.0473133696098,404.0473133696098,404.0473133696098,91,92,92,92,3,5.0,0
1030.606777195113,805.4272114596398,805.4272114596398,509.13823113976173,88,114,114,95,3,5.0,0
740.0082294852497,780.240930621703,780.240930621703,472.1500631008772,88,107,107,85,4,5.0,0
1134.1495040605566,633.154063847814,633.154063847814,578.896645468599,91,104,104,86,4,5.0,0
844.9484440051795,913.7451132920571,913.7451132920571,522.3440796014324,83,119,119,87,4,5.0,0
1538.8724929301727,931.6633505611484,931.6633505611484,644.4205869948318,112,141,141,112,4,5.0,0
797.820909854676,570.02922659815,570.02922659815,563.271230022142,83,88,88,85,4,5.0,0
574.044386783226,574.044386783226,574.044386783226,366.9117206414119,89,89,89,77,4,5.0,0
753.0062742439094,635.5678746412938,635.5678746412938,530.6282820131877,105,105,105,83,4,5.0,0
685.3153217238735,747.3792450174705,747.3792450174705,477.5959638867494,80,119,119,66,4,5.0,0
1180.5557137802573,899.7526052264686,899.7526052264686,606.5147797863134,100,114,114,122,4,5.0,0
1460.492155317386,746.6310195512502,746.6310195512502,468.3837031587073,100,122,122,92,4,5.0,0
721.0385612858369,499.49020082641573,499.49020082641573,488.79628497586293,80,85,85,83,5,5.0,0
1199.9385391648668,950.685376326142,950.685376326142,639.7386397681022,101,174,174,132,5,5.0,0
643.6278060937959,559.1272554897495,559.1272554897495,414.14734793056766,91,100,100,91,5,5.0,0
778.5973827823528,560.1256254187587,560.1256254187587,448.9233109405309,85,92,92,93,5,5.0,0
714.0153854586307,420.8665755908788,420.8665755908788,370.55955647581595,80,69,69,59,5,5.0,0
923.8338985494277,569.7519371239333,569.7519371239333,501.91670114015534,85,118,118,98,5,5.0,0
782.9479477561543,586.1986034000423,586.1986034000423,445.13706719393406,91,125,125,94,5,5.0,0
977.8953749855838,702.8944278218746,702.8944278218746,530.6520738305421,81,131,131,114,5,5.0,0
974.8182862560119,851.5973236762411,851.5973236762411,664.3361842721124,83,144,144,106,5,5.0,0
1134.297984126083,816.540740517414,816.540740517414,556.1330576594472,134,133,133,101,5,5.0,0
1289.2469166082376,473.1845531412529,473.1845531412529,371.96068740988426,90,116,116,93,6,5.0,0
872.9079369060685,574.7495659832119,574.7495659832119,395.3956408549978,84,101,101,88,6,5.0,0
667.345390279441,548.5722124198968,548.5722124198968,548.5722124198968,82,83,83,83,6,5.0,0
912.504409155346,678.3297017329245,678.3297017329245,496.3583618950765,83,105,105,91,6,5.0,0
959.8384501924704,649.6804487964205,649.6804487964205,537.235737146758,85,98,98,113,6,5.0,0
1088.6850486828528,891.6823225669754,891.6823225669754,878.2319542648,100,106,106,104,6,5.0,0
986.253424089555,543.6864360607344,543.6864360607344,455.0876396741138,85,111,111,75,6,5.0,0
1079.0628950170021,458.49046460867424,458.49046460867424,387.03222656421946,87,91,91,69,6,5.0,0
865.5719103751308,443.1449053637904,443.1449053637904,428.5569639562052,94,110,110,101,6,5.0,0
1119.896570844171,585.9099957152633,585.9099957152633,547.8752483824971,112,100,100,99,6,5.0,0
901.9990319650816,555.4025437614828,555.4025437614828,437.15787551545793,87,92,92,87,7,5.0,0
1903.1923966293984,614.2088665836376,614.2088665836376,609.1333245762547,114,142,142,131,7,5.0,0
936.876810257417,612.0699434023085,612.0699434023085,504.4606146244272,85,114,114,85,7,5.0,0
1332.1643963988588,912.5085778170146,912.5085778170146,650.4741921960733,85,110,110,100,7,5.0,0
1253.008827870383,893.9158419007865,893.9158419007865,705.947569616632,104,94,94,84,7,5.0,0
1427.3059583121926,909.3680314076194,909.3680314076194,706.2512168573085,97,141,141,107,7,5.0,0
1004.3642661182864,557.2181862015783,557.2181862015783,433.36673546768986,85,103,103,97,7,5.0,0
1216.0834405304106,666.5834898318025,666.5834898318025,528.3975151494794,124,155,155,119,7,5.0,0
892.5165843420695,558.6639911396779,558.6639911396779,543.4232707697987,102,109,109,104,7,5.0,0
895.6694086912548,629.6579740824108,629.6579740824108,434.25583932774487,95,101,101,89,7,5.0,0
1265.4574862528798,879.3476790120109,879.3476790120109,432.9929434269629,87,136,136,55,8,5.0,0
1296.625141687315,670.082740800703,670.082740800703,601.1449671913925,100,132,132,117,8,5.0,0
701.0551500877804,643.830087427764,643.830087427764,488.95585523496175,87,130,130,90,8,5.0,0
1532.2700841185872,866.9657559098606,866.9657559098606,546.7135207864513,117,144,144,117,8,5.0,0
972.5135991981668,524.7956942529867,524.7956942529867,513.139468886549,101,103,103,102,8,5.0,0
995.354417317404,785.1385097381647,785.1385097381647,422.7243299136294,92,111,111,89,8,5.0,0
1121.5863839984895,716.7713572795385,716.7713572795385,458.55380714123527,95,109,109,103,8,5.0,0
876.8929468616011,844.4628225423685,844.4628225423685,446.305877853172,97,112,112,98,8,5.0,0
980.0755842599824,750.2272736331929,750.2272736331929,461.1054058421842,88,77,77,77,8,5.0,0
812.2314746177096,743.6638955959477,743.6638955959477,377.15708846148584,86,100,100,98,8,5.0,0
1210.9932028278963,739.409617277887,739.409617277887,570.8547880110023,93,132,132,97,9,5.0,0
1132.0643541599713,881.4408268514024,881.4408268514024,720.4709339942157,98,106,106,81,9,5.0,0
1033.4382025345876,648.5721786026435,648.5721786026435,527.2790283324322,100,110,110,125,9,5.0,0
983.4658343104387,654.34266907957,654.34266907957,546.0666744985018,116,155,155,106,9,5.0,0
1404.4539983189438,684.9332628388877,684.9332628388877,558.2095910348263,103,134,134,134,9,5.0,0
1171.2804937939784,558.0659428390735,558.0659428390735,546.978078758216,99,122,122,114,9,5.0,0
1313.9553959686334,837.774125530996,837.774125530996,523.2488916810181,93,144,144,84,9,5.0,0
896.191403376785,794.3440019879259,794.3440019879259,533.0652523731575,83,147,147,107,9,5.0,0
1018.1577916823588,915.9489118824196,915.9489118824196,481.08118179433086,87,126,126,69,9,5.0,0
1293.3109988986535,941.0773233692624,941.0773233692624,621.2385983864369,123,151,151,123,9,5.0,0
825.359433316177,408.55134050138895,402.4836818140783,364.8263582408746,86,89,85,81,0,5.0,50
1786.6621005408906,1008.5815471205539,1001.8811312085367,730.3939603708426,105,138,132,118,0,5.0,50
1106.7895976819536,895.8636444968431,775.9100878341281,456.8392647102833,80,115,112,75,0,5.0,50
615.2482614507251,432.0616487065428,432.0616487065428,393.3508355947446,80,92,92,87,0,5.0,50
987.8679755344722,751.0341080002761,749.656335033741,529.9612250822295,90,91,89,135,0,5.0,50
1289.4337652847091,716.2094552284592,716.2094552284592,648.8294623564063,116,129,129,119,0,5.0,50
980.4980851356343,688.1795650175742,688.1795650175742,522.7481841848119,98,90,90,88,0,5.0,50
803.9448543288277,547.9044828691138,547.2174368058528,461.11616732501045,100,107,105,110,0,5.0,50
520.3850700349954,401.1255049028395,401.1255049028395,401.1255049028395,104,106,106,106,0,5.0,50
1790.9562192086419,1139.2701402025687,1019.8884624963257,650.918554228402,116,158,132,109,0,5.0,50
748.4524773244215,399.67016833040003,403.8737647410345,396.5839754657414,96,87,97,90,1,5.0,50
1042.6029071834039,674.720955564991,674.720955564991,530.8858084790314,87,100,100,85,1,5.0,50
1328.1598042758098,744.9613225619081,738.8874637920416,537.06018622627,101,146,142,109,1,5.0,50
1054.6539607958005,670.8258268003115,664.8048627862124,633.1491453122674,117,148,146,133,1,5.0,50
1131.4904860823276,588.0312721271013,582.0103081130022,546.9869299130684,117,138,136,122,1,5.0,50
572.0682408295796,380.2736820748863,380.2736820748863,374.4549793927477,82,102,102,98,1,5.0,50
837.6271218726688,767.7981885352177,767.7981885352177,525.9258118554051,85,129,129,102,1,5.0,50
1402.505797068895,968.6065695522253,950.4333205505108,814.0385403519223,109,163,157,100,1,5.0,50
834.295040547752,555.2670559002231,555.2670559002231,532.1849565465286,90,103,103,115,1,5.0,50
711.0267097490561,486.6538022462014,482.3167555667559,482.3167555667559,81,86,84,84,1,5.0,50
995.2246550654577,555.3058118913618,550.9150483743335,450.00899534611125,80,88,84,100,2,5.0,50
949.3228811023354,656.170661547635,656.170661547635,541.0368012691342,96,102,102,147,2,5.0,50
1289.34833821952,738.6211490605663,737.9341029973052,620.5386066473667,122,125,123,126,2,5.0,50
1235.2052797408885,726.9808540693301,726.9808540693301,454.993247362559,83,91,91,80,2,5.0,50
1106.709901476798,648.6927969800422,645.186158343418,569.0269945218898,104,118,114,138,2,5.0,50
508.11306963154493,393.4260227383682,393.4260227383682,391.02597590660827,83,87,87,79,2,5.0,50
934.063438785302,816.7477700909568,814.3679336498334,621.3086864267563,100,133,131,106,2,5.0,50
895.4107882445213,541.1489028300706,531.4555756487057,435.44175323743997,111,115,113,101,2,5.0,50
966.0672819917995,782.8748263911125,782.8748263911125,667.7409661126118,87,120,120,165,2,5.0,50
1401.006601110596,524.8592696926083,524.1722236293473,480.87976222012185,103,109,107,91,2,5.0,50
949.1362976946925,828.9867230580716,828.9867230580716,531.4680294270169,97,103,103,90,3,5.0,50
1209.6246821323693,868.3276244567614,867.2884847191422,674.3940272837033,105,148,147,136,3,5.0,50
497.36980380516536,384.93932894337524,384.93932894337524,378.5478167058634,90,90,90,92,3,5.0,50
1212.9418652956251,1030.4521518396068,1029.341704559358,810.7100568776852,131,150,146,133,3,5.0,50
786.1942536608424,963.4773621983616,962.8354341854574,666.9539174433819,115,117,115,116,3,5.0,50
1484.3245350547418,1055.5550672569482,1024.9838265990602,600.6004279300448,106,154,130,121,3,5.0,50
951.4207212464485,717.1264698928621,712.1052776764885,509.3556052292909,95,117,115,106,3,5.0,50
1231.8655359131906,792.2816318686104,810.7326880562441,525.4253014568311,88,97,83,99,3,5.0,50
1181.7554023677612,706.4058920663504,706.4058920663504,669.5139657965569,99,129,129,120,3,5.0,50
1193.2986727018208,633.7272145372622,633.7272145372622,499.8129624924606,82,101,101,97,3,5.0,50
1093.0498196129993,518.7317727074492,517.7132556363533,505.0380095508461,108,130,128,124,4,5.0,50
577.481258649241,393.1797134712379,390.5160526386629,359.24539152049715,81,86,84,76,4,5.0,50
773.486742768992,634.6415494590511,634.6415494590511,578.2245036934536,114,147,147,119,4,5.0,50
827.5736569505598,670.3165228249491,670.3165228249491,489.9911718656855,84,116,116,100,4,5.0,50
825.560795203193,646.5276602028501,646.5276602028501,489.7965334718483,101,101,101,124,4,5.0,50
596.7211838179144,436.38253568323483,436.38253568323483,366.2767860173809,89,98,98,89,4,5.0,50
952.9154775732472,781.6068790342781,781.6068790342781,489.0476455541784,88,120,120,105,4,5.0,50
1066.5681071327524,486.4726826864148,485.3470103690071,481.0818753755733,90,119,98,126,4,5.0,50
920.4351301540687,548.9572556913889,537.3830441271192,469.6646647276274,83,110,104,86,4,5.0,50
1617.7653749892702,665.6059223553518,665.6059223553518,587.8954108761357,129,129,129,118,4,5.0,50
926.7915895473142,737.005262227436,737.005262227436,576.0254086935539,94,143,143,98,5,5.0,50
1106.9265412964057,525.6603247176126,394.78382332473615,394.78382332473615,90,92,81,81,5,5.0,50
977.3159542167704,659.4104055572394,585.9667100610847,536.15196236675,93,100,99,89,5,5.0,50
1465.8301969820182,1238.1619777985923,1348.8605509325077,766.4068287947694,94,144,169,94,5,5.0,50
947.1821627271418,720.0995245213026,756.5161308533138,628.4839220258214,82,84,90,106,5,5.0,50
1535.061397377992,933.6940588808407,925.3818621026603,606.3691602068787,112,143,141,132,5,5.0,50
1304.1523230923751,1370.3455788990107,1324.5868458851744,711.0233747533217,123,175,188,128,5,5.0,50
714.6658715870377,486.1435160625693,486.1435160625693,484.6925394321264,94,96,96,87,5,5.0,50
652.9832326759829,524.9084961319195,523.2841670974553,478.2352156193305,80,102,100,110,5,5.0,50
827.4180263104179,613.8732186999396,598.135463106501,598.135463106501,99,109,103,103,5,5.0,50
811.1927723929584,588.2400566480691,584.4718433532147,469.1297511680765,89,95,93,89,6,5.0,50
1120.6206160008073,588.9444956063978,588.9444956063978,435.7280609348058,95,114,114,78,6,5.0,50
1028.2263060049513,862.9057476627165,859.6512662335699,646.8044423838061,123,159,155,154,6,5.0,50
