L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
239.98110489644037,239.98110489644037,239.98110489644037,239.98110489644037,64,64,64,64,0,0.0
162.76189934540753,162.76189934540753,162.76189934540753,162.76189934540753,38,38,38,38,0,0.0
181.7746544602522,181.7746544602522,181.7746544602522,181.7746544602522,40,40,40,40,0,0.0
130.73025792216265,130.73025792216265,130.73025792216265,130.73025792216265,44,44,44,44,0,0.0
149.9752470459195,149.9752470459195,149.9752470459195,149.9752470459195,31,31,31,31,0,0.0
221.0749679104403,221.0749679104403,221.0749679104403,221.0749679104403,42,42,42,42,0,0.0
130.3271060480004,130.3271060480004,130.3271060480004,130.3271060480004,37,37,37,37,0,0.0
180.57139279060183,180.57139279060183,180.57139279060183,180.57139279060183,42,42,42,42,0,0.0
212.91054064028293,212.91054064028293,212.91054064028293,212.91054064028293,47,47,47,47,0,0.0
191.65607450148465,191.65607450148465,191.65607450148465,191.65607450148465,42,42,42,42,0,0.0
208.92031493311245,208.92031493311245,208.92031493311245,208.92031493311245,61,61,61,61,0,0.0
194.14627602652936,194.14627602652936,194.14627602652936,194.14627602652936,58,58,58,58,0,0.0
175.09174785174952,175.09174785174952,175.09174785174952,175.09174785174952,60,60,60,60,0,0.0
102.40782696659099,102.40782696659099,102.40782696659099,102.40782696659099,30,30,30,30,0,0.0
208.093606426394,208.093606426394,208.093606426394,208.093606426394,53,53,53,53,0,0.0
159.75243039050702,159.75243039050702,159.75243039050702,159.75243039050702,59,59,59,59,0,0.0
176.66802349996692,176.66802349996692,176.66802349996692,176.66802349996692,36,36,36,36,0,0.0
191.00476074420126,191.00476074420126,191.00476074420126,191.00476074420126,48,48,48,48,0,0.0
130.52082394916692,130.52082394916692,130.52082394916692,130.52082394916692,40,40,40,40,0,0.0
128.92938336413286,128.92938336413286,128.92938336413286,128.92938336413286,31,31,31,31,0,0.0
179.30610179519522,179.30610179519522,179.30610179519522,179.30610179519522,44,44,44,44,0,0.0
343.51416648951056,343.51416648951056,343.51416648951056,343.51416648951056,54,54,54,54,0,0.0
204.56900201558005,204.56900201558005,204.56900201558005,204.56900201558005,46,46,46,46,0,0.0
156.44593604983942,156.44593604983942,156.44593604983942,156.44593604983942,43,43,43,43,0,0.0
112.75005283278907,112.75005283278907,112.75005283278907,112.75005283278907,32,32,32,32,0,0.0
204.74149167757474,204.74149167757474,204.74149167757474,204.74149167757474,60,60,60,60,0,0.0
132.48655251136395,132.48655251136395,132.48655251136395,132.48655251136395,55,55,55,55,0,0.0
146.06871407490704,146.06871407490704,146.06871407490704,146.06871407490704,52,52,52,52,0,0.0
143.23912494878635,143.23912494878635,143.23912494878635,143.23912494878635,51,51,51,51,0,0.0
234.7321277987092,234.7321277987092,234.7321277987092,234.7321277987092,51,51,51,51,0,0.0
182.47748741612523,182.47748741612523,182.47748741612523,182.47748741612523,66,66,66,66,1,0.0
127.24812047033086,127.24812047033086,127.24812047033086,127.24812047033086,55,55,55,55,1,0.0
192.06696865478318,192.06696865478318,192.06696865478318,192.06696865478318,46,46,46,46,1,0.0
236.2066860411193,236.2066860411193,236.2066860411193,236.2066860411193,43,43,43,43,1,0.0
193.25756590076048,193.25756590076048,193.25756590076048,193.25756590076048,39,39,39,39,1,0.0
151.1343229836857,151.1343229836857,151.1343229836857,151.1343229836857,38,38,38,38,1,0.0
186.40956207898716,186.40956207898716,186.40956207898716,186.40956207898716,49,49,49,49,1,0.0
122.29686176359198,122.29686176359198,122.29686176359198,122.29686176359198,37,37,37,37,1,0.0
118.17211097627279,118.17211097627279,118.17211097627279,118.17211097627279,46,46,46,46,1,0.0
128.28152527743703,128.28152527743703,128.28152527743703,128.28152527743703,37,37,37,37,1,0.0
117.2016112147222,117.2016112147222,117.2016112147222,117.2016112147222,37,37,37,37,1,0.0
165.0198489944313,165.0198489944313,165.0198489944313,165.0198489944313,38,38,38,38,1,0.0
109.69436172389123,109.69436172389123,109.69436172389123,109.69436172389123,34,34,34,34,1,0.0
256.5971870157036,256.5971870157036,256.5971870157036,256.5971870157036,64,64,64,64,1,0.0
219.20183141802372,219.20183141802372,219.20183141802372,219.20183141802372,46,46,46,46,1,0.0
179.4310668638436,179.4310668638436,179.4310668638436,179.4310668638436,37,37,37,37,1,0.0
234.55223889087338,234.55223889087338,234.55223889087338,234.55223889087338,52,52,52,52,1,0.0
181.78611628916025,181.78611628916025,181.78611628916025,181.78611628916025,64,64,64,64,1,0.0
172.92756097978983,172.92756097978983,172.92756097978983,172.92756097978983,36,36,36,36,1,0.0
103.06386139779667,103.06386139779667,103.06386139779667,103.06386139779667,43,43,43,43,1,0.0
150.0211361597652,150.0211361597652,150.0211361597652,150.0211361597652,46,46,46,46,1,0.0
91.71159689131257,91.71159689131257,91.71159689131257,91.71159689131257,32,32,32,32,1,0.0
177.79144185415592,177.79144185415592,177.79144185415592,177.79144185415592,43,43,43,43,1,0.0
218.64118828038488,218.64118828038488,218.64118828038488,218.64118828038488,50,50,50,50,1,0.0
154.44183777667985,154.44183777667985,154.44183777667985,154.44183777667985,53,53,53,53,1,0.0
205.19260760122108,205.19260760122108,205.19260760122108,205.19260760122108,43,43,43,43,1,0.0
168.97304928727496,168.97304928727496,168.97304928727496,168.97304928727496,38,38,38,38,1,0.0
273.3116425074484,273.3116425074484,273.3116425074484,273.3116425074484,59,59,59,59,1,0.0
156.970177014662,156.970177014662,156.970177014662,156.970177014662,46,46,46,46,1,0.0
174.43837558483332,174.43837558483332,174.43837558483332,174.43837558483332,42,42,42,42,1,0.0
96.18540014149241,96.18540014149241,96.18540014149241,96.18540014149241,32,32,32,32,2,0.0
176.63092505365577,176.63092505365577,176.63092505365577,176.63092505365577,32,32,32,32,2,0.0
246.08490038721013,246.08490038721013,246.08490038721013,246.08490038721013,66,66,66,66,2,0.0
233.55129524962118,233.55129524962118,233.55129524962118,233.55129524962118,39,39,39,39,2,0.0
78.78907542587473,78.78907542587473,78.78907542587473,78.78907542587473,32,32,32,32,2,0.0
146.4971478000915,146.4971478000915,146.4971478000915,146.4971478000915,36,36,36,36,2,0.0
119.83017466200958,119.83017466200958,119.83017466200958,119.83017466200958,52,52,52,52,2,0.0
153.41814518655332,153.41814518655332,153.41814518655332,153.41814518655332,42,42,42,42,2,0.0
152.95766041345752,152.95766041345752,152.95766041345752,152.95766041345752,41,41,41,41,2,0.0
121.29901272671516,121.29901272671516,121.29901272671516,121.29901272671516,39,39,39,39,2,0.0
175.1797390448841,175.1797390448841,175.1797390448841,175.1797390448841,37,37,37,37,2,0.0
226.52577282623076,226.52577282623076,226.52577282623076,226.52577282623076,66,66,66,66,2,0.0
140.265425612909,140.265425612909,140.265425612909,140.265425612909,45,45,45,45,2,0.0
144.1746757161316,144.1746757161316,144.1746757161316,144.1746757161316,55,55,55,55,2,0.0
138.23419956817108,138.23419956817108,138.23419956817108,138.23419956817108,53,53,53,53,2,0.0
184.9221358437593,184.9221358437593,184.9221358437593,184.9221358437593,41,41,41,41,2,0.0
162.50903766140962,162.50903766140962,162.50903766140962,162.50903766140962,32,32,32,32,2,0.0
163.43808248445174,163.43808248445174,163.43808248445174,163.43808248445174,58,58,58,58,2,0.0
133.523407799907,133.523407799907,133.523407799907,133.523407799907,33,33,33,33,2,0.0
188.09264786786053,188.09264786786053,188.09264786786053,188.09264786786053,34,34,34,34,2,0.0
110.40249790752236,110.40249790752236,110.40249790752236,110.40249790752236,37,37,37,37,2,0.0
183.17337055791106,183.17337055791106,183.17337055791106,183.17337055791106,68,68,68,68,2,0.0
266.2200401659808,266.2200401659808,266.2200401659808,266.2200401659808,63,63,63,63,2,0.0
142.60307320904164,142.60307320904164,142.60307320904164,142.60307320904164,31,31,31,31,2,0.0
165.30057482298486,165.30057482298486,165.30057482298486,165.30057482298486,53,53,53,53,2,0.0
149.8492149221982,149.8492149221982,149.8492149221982,149.8492149221982,56,56,56,56,2,0.0
274.3005754763669,274.3005754763669,274.3005754763669,274.3005754763669,58,58,58,58,2,0.0
114.8540234167481,114.8540234167481,114.8540234167481,114.8540234167481,30,30,30,30,2,0.0
112.18906124517272,112.18906124517272,112.18906124517272,112.18906124517272,32,32,32,32,2,0.0
151.89627636037653,151.89627636037653,151.89627636037653,151.89627636037653,41,41,41,41,2,0.0
200.9030146672418,200.9030146672418,200.9030146672418,200.9030146672418,44,44,44,44,3,0.0
158.6170770075352,158.6170770075352,158.6170770075352,158.6170770075352,41,41,41,41,3,0.0
98.76739339340577,98.76739339340577,98.76739339340577,98.76739339340577,30,30,30,30,3,0.0
119.58023999035997,119.58023999035997,119.58023999035997,119.58023999035997,31,31,31,31,3,0.0
106.62508929838836,106.62508929838836,106.62508929838836,106.62508929838836,35,35,35,35,3,0.0
125.0241189977395,125.0241189977395,125.0241189977395,125.0241189977395,31,31,31,31,3,0.0
167.5480321920973,167.5480321920973,167.5480321920973,167.5480321920973,60,60,60,60,3,0.0
111.62761392165712,111.62761392165712,111.62761392165712,111.62761392165712,30,30,30,30,3,0.0
148.85316597074043,148.85316597074043,148.85316597074043,148.85316597074043,51,51,51,51,3,0.0
175.1783851024691,175.1783851024691,175.1783851024691,175.1783851024691,43,43,43,43,3,0.0
209.09804472884994,209.09804472884994,209.09804472884994,209.09804472884994,76,76,76,76,3,0.0
162.1764233447092,162.1764233447092,162.1764233447092,162.1764233447092,43,43,43,43,3,0.0
143.13369008285844,143.13369008285844,143.13369008285844,143.13369008285844,32,32,32,32,3,0.0
208.90280953662273,208.90280953662273,208.90280953662273,208.90280953662273,47,47,47,47,3,0.0
87.60889969411136,87.60889969411136,87.60889969411136,87.60889969411136,32,32,32,32,3,0.0
110.61861322216826,110.61861322216826,110.61861322216826,110.61861322216826,34,34,34,34,3,0.0
217.0864413115381,217.0864413115381,217.0864413115381,217.0864413115381,76,76,76,76,3,0.0
155.62596505887703,155.62596505887703,155.62596505887703,155.62596505887703,48,48,48,48,3,0.0
144.82738069077348,144.82738069077348,144.82738069077348,144.82738069077348,32,32,32,32,3,0.0
187.63807640060642,187.63807640060642,187.63807640060642,187.63807640060642,35,35,35,35,3,0.0
97.50085498979041,97.50085498979041,97.50085498979041,97.50085498979041,31,31,31,31,3,0.0
136.98784292557275,136.98784292557275,136.98784292557275,136.98784292557275,31,31,31,31,3,0.0
163.7148983678008,163.7148983678008,163.7148983678008,163.7148983678008,36,36,36,36,3,0.0
173.378577939146,173.378577939146,173.378577939146,173.378577939146,36,36,36,36,3,0.0
141.37440619153242,141.37440619153242,141.37440619153242,141.37440619153242,35,35,35,35,3,0.0
147.33795969089368,147.33795969089368,147.33795969089368,147.33795969089368,61,61,61,61,3,0.0
156.78382142601697,156.78382142601697,156.78382142601697,156.78382142601697,36,36,36,36,3,0.0
239.28343780017875,239.28343780017875,239.28343780017875,239.28343780017875,82,82,82,82,3,0.0
189.83993361923154,189.83993361923154,189.83993361923154,189.83993361923154,39,39,39,39,3,0.0
196.9105085321664,196.9105085321664,196.9105085321664,196.9105085321664,30,30,30,30,3,0.0
188.989244814292,188.989244814292,188.989244814292,188.989244814292,44,44,44,44,4,0.0
114.17582633423058,114.17582633423058,114.17582633423058,114.17582633423058,34,34,34,34,4,0.0
112.46605504291568,112.46605504291568,112.46605504291568,112.46605504291568,32,32,32,32,4,0.0
111.72040996692638,111.72040996692638,111.72040996692638,111.72040996692638,43,43,43,43,4,0.0
240.93098227863166,240.93098227863166,240.93098227863166,240.93098227863166,59,59,59,59,4,0.0
161.74034580395255,161.74034580395255,161.74034580395255,161.74034580395255,44,44,44,44,4,0.0
197.10743861683912,197.10743861683912,197.10743861683912,197.10743861683912,64,64,64,64,4,0.0
133.95962391936158,133.95962391936158,133.95962391936158,133.95962391936158,50,50,50,50,4,0.0
130.5562436465168,130.5562436465168,130.5562436465168,130.5562436465168,44,44,44,44,4,0.0
183.724755766727,183.724755766727,183.724755766727,183.724755766727,45,45,45,45,4,0.0
128.39923789810032,128.39923789810032,128.39923789810032,128.39923789810032,38,38,38,38,4,0.0
111.25112583280958,111.25112583280958,111.25112583280958,111.25112583280958,37,37,37,37,4,0.0
130.07184298303008,130.07184298303008,130.07184298303008,130.07184298303008,52,52,52,52,4,0.0
254.09883766699866,254.09883766699866,254.09883766699866,254.09883766699866,56,56,56,56,4,0.0
118.74307072126112,118.74307072126112,118.74307072126112,118.74307072126112,33,33,33,33,4,0.0
152.4717427390128,152.4717427390128,152.4717427390128,152.4717427390128,43,43,43,43,4,0.0
115.61076523608078,115.61076523608078,115.61076523608078,115.61076523608078,32,32,32,32,4,0.0
247.366976027245,247.366976027245,247.366976027245,247.366976027245,56,56,56,56,4,0.0
358.1108537900981,358.1108537900981,358.1108537900981,358.1108537900981,79,79,79,79,4,0.0
212.61853199040857,212.61853199040857,212.61853199040857,212.61853199040857,57,57,57,57,4,0.0
161.05809885227674,161.05809885227674,161.05809885227674,161.05809885227674,43,43,43,43,4,0.0
214.84389598617832,214.84389598617832,214.84389598617832,214.84389598617832,69,69,69,69,4,0.0
125.59595588799819,125.59595588799819,125.59595588799819,125.59595588799819,39,39,39,39,4,0.0
165.2885019262785,165.2885019262785,165.2885019262785,165.2885019262785,60,60,60,60,4,0.0
131.08951684456463,131.08951684456463,131.08951684456463,131.08951684456463,53,53,53,53,4,0.0
210.53233266855946,210.53233266855946,210.53233266855946,210.53233266855946,32,32,32,32,4,0.0
265.59345002136666,265.59345002136666,265.59345002136666,265.59345002136666,60,60,60,60,4,0.0
144.68860736348267,144.68860736348267,144.68860736348267,144.68860736348267,36,36,36,36,4,0.0
236.62244308259613,236.62244308259613,236.62244308259613,236.62244308259613,51,51,51,51,4,0.0
134.1745669321031,134.1745669321031,134.1745669321031,134.1745669321031,35,35,35,35,4,0.0
97.22406685626524,97.22406685626524,97.22406685626524,97.22406685626524,39,39,39,39,5,0.0
135.85459333048485,135.85459333048485,135.85459333048485,135.85459333048485,50,50,50,50,5,0.0
131.59187829496457,131.59187829496457,131.59187829496457,131.59187829496457,52,52,52,52,5,0.0
152.57830255978354,152.57830255978354,152.57830255978354,152.57830255978354,33,33,33,33,5,0.0
89.86864503328302,89.86864503328302,89.86864503328302,89.86864503328302,32,32,32,32,5,0.0
123.41037212280453,123.41037212280453,123.41037212280453,123.41037212280453,41,41,41,41,5,0.0
133.1478465622194,133.1478465622194,133.1478465622194,133.1478465622194,50,50,50,50,5,0.0
220.97285133334623,220.97285133334623,220.97285133334623,220.97285133334623,76,76,76,76,5,0.0
212.76783903290774,212.76783903290774,212.76783903290774,212.76783903290774,77,77,77,77,5,0.0
127.11818174128163,127.11818174128163,127.11818174128163,127.11818174128163,38,38,38,38,5,0.0
223.5655851141157,223.5655851141157,223.5655851141157,223.5655851141157,80,80,80,80,5,0.0
165.76213085274676,165.76213085274676,165.76213085274676,165.76213085274676,51,51,51,51,5,0.0
154.96853965950095,154.96853965950095,154.96853965950095,154.96853965950095,53,53,53,53,5,0.0
181.83463847343384,181.83463847343384,181.83463847343384,181.83463847343384,39,39,39,39,5,0.0
124.58132035906533,124.58132035906533,124.58132035906533,124.58132035906533,38,38,38,38,5,0.0
255.8601608805568,255.8601608805568,255.8601608805568,255.8601608805568,56,56,56,56,5,0.0
241.0719021746078,241.0719021746078,241.0719021746078,241.0719021746078,64,64,64,64,5,0.0
264.61704088903406,264.61704088903406,264.61704088903406,264.61704088903406,60,60,60,60,5,0.0
77.58574100907596,77.58574100907596,77.58574100907596,77.58574100907596,38,38,38,38,5,0.0
160.9217204983364,160.9217204983364,160.9217204983364,160.9217204983364,32,32,32,32,5,0.0
107.86594326553855,107.86594326553855,107.86594326553855,107.86594326553855,54,54,54,54,5,0.0
96.643853552416,96.643853552416,96.643853552416,96.643853552416,48,48,48,48,5,0.0
217.25781161963212,217.25781161963212,217.25781161963212,217.25781161963212,41,41,41,41,5,0.0
106.06087689374078,106.06087689374078,106.06087689374078,106.06087689374078,36,36,36,36,5,0.0
144.146204266761,144.146204266761,144.146204266761,144.146204266761,57,57,57,57,5,0.0
140.88677387198325,140.88677387198325,140.88677387198325,140.88677387198325,40,40,40,40,5,0.0
174.6537950713559,174.6537950713559,174.6537950713559,174.6537950713559,60,60,60,60,5,0.0
129.385050508597,129.385050508597,129.385050508597,129.385050508597,36,36,36,36,5,0.0
183.1543913581154,183.1543913581154,183.1543913581154,183.1543913581154,65,65,65,65,5,0.0
244.5755208299965,244.5755208299965,244.5755208299965,244.5755208299965,54,54,54,54,5,0.0
115.22493623651543,115.22493623651543,115.22493623651543,115.22493623651543,44,44,44,44,6,0.0
217.57310597492787,217.57310597492787,217.57310597492787,217.57310597492787,72,72,72,72,6,0.0
165.77427281340047,165.77427281340047,165.77427281340047,165.77427281340047,36,36,36,36,6,0.0
118.49959620559613,118.49959620559613,118.49959620559613,118.49959620559613,37,37,37,37,6,0.0
188.74225418557072,188.74225418557072,188.74225418557072,188.74225418557072,37,37,37,37,6,0.0
89.4854694315159,89.4854694315159,89.4854694315159,89.4854694315159,34,34,34,34,6,0.0
142.65601067883742,142.65601067883742,142.65601067883742,142.65601067883742,36,36,36,36,6,0.0
124.19069791803626,124.19069791803626,124.19069791803626,124.19069791803626,60,60,60,60,6,0.0
249.12724442513365,249.12724442513365,249.12724442513365,249.12724442513365,65,65,65,65,6,0.0
106.97537048647362,106.97537048647362,106.97537048647362,106.97537048647362,31,31,31,31,6,0.0
133.13937436851722,133.13937436851722,133.13937436851722,133.13937436851722,62,62,62,62,6,0.0
187.81108903314282,187.81108903314282,187.81108903314282,187.81108903314282,49,49,49,49,6,0.0
161.9305946513775,161.9305946513775,161.9305946513775,161.9305946513775,53,53,53,53,6,0.0
183.27533550474539,183.27533550474539,183.27533550474539,183.27533550474539,47,47,47,47,6,0.0
226.20843338350568,226.20843338350568,226.20843338350568,226.20843338350568,53,53,53,53,6,0.0
118.48808158666321,118.48808158666321,118.48808158666321,118.48808158666321,32,32,32,32,6,0.0
114.74695396084742,114.74695396084742,114.74695396084742,114.74695396084742,48,48,48,48,6,0.0
329.10086786144336,329.10086786144336,329.10086786144336,329.10086786144336,54,54,54,54,6,0.0
129.48842076644453,129.48842076644453,129.48842076644453,129.48842076644453,34,34,34,34,6,0.0
114.03879234603588,114.03879234603588,114.03879234603588,114.03879234603588,38,38,38,38,6,0.0
115.3734984694437,115.3734984694437,115.3734984694437,115.3734984694437,46,46,46,46,6,0.0
253.2685342170823,253.2685342170823,253.2685342170823,253.2685342170823,49,49,49,49,6,0.0
188.91811456481463,188.91811456481463,188.91811456481463,188.91811456481463,43,43,43,43,6,0.0
237.14249182679737,237.14249182679737,237.14249182679737,237.14249182679737,62,62,62,62,6,0.0
106.87197202661503,106.87197202661503,106.87197202661503,106.87197202661503,43,43,43,43,6,0.0
144.30072508664193,144.30072508664193,144.30072508664193,144.30072508664193,52,52,52,52,6,0.0
178.2429951723185,178.2429951723185,178.2429951723185,178.2429951723185,51,51,51,51,6,0.0
