L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
311.62557741543253,311.62557741543253,311.62557741543253,311.62557741543253,45,45,45,45,0,0.0
265.4708207987967,265.4708207987967,265.4708207987967,265.4708207987967,71,71,71,71,0,0.0
403.43898566111415,403.43898566111415,403.43898566111415,403.43898566111415,76,76,76,76,0,0.0
606.4207581764415,606.4207581764415,606.4207581764415,606.4207581764415,74,74,74,74,0,0.0
330.1138412856638,330.1138412856638,330.1138412856638,330.1138412856638,53,53,53,53,0,0.0
878.6015751348358,878.6015751348358,878.6015751348358,878.6015751348358,164,164,164,164,1,0.0
1107.385104311357,1107.385104311357,1107.385104311357,1107.385104311357,242,242,242,242,1,0.0
603.448244120656,603.448244120656,603.448244120656,603.448244120656,94,94,94,94,1,0.0
423.74741994951216,423.74741994951216,423.74741994951216,423.74741994951216,84,84,84,84,1,0.0
748.5259565471389,748.5259565471389,748.5259565471389,748.5259565471389,111,111,111,111,1,0.0
815.8223712422011,815.8223712422011,815.8223712422011,815.8223712422011,151,151,151,151,2,0.0
400.5747539362057,400.5747539362057,400.5747539362057,400.5747539362057,85,85,85,85,2,0.0
449.71113985778095,449.71113985778095,449.71113985778095,449.71113985778095,84,84,84,84,2,0.0
776.0135965064633,776.0135965064633,776.0135965064633,776.0135965064633,132,132,132,132,2,0.0
568.8269481393977,568.8269481393977,568.8269481393977,568.8269481393977,98,98,98,98,2,0.0
655.2465912179163,655.2465912179163,655.2465912179163,655.2465912179163,130,130,130,130,3,0.0
463.49352580696916,463.49352580696916,463.49352580696916,463.49352580696916,89,89,89,89,3,0.0
335.93996241650945,335.93996241650945,335.93996241650945,335.93996241650945,79,79,79,79,3,0.0
230.01191341507456,230.01191341507456,230.01191341507456,230.01191341507456,37,37,37,37,3,0.0
355.08253230424145,355.08253230424145,355.08253230424145,355.08253230424145,65,65,65,65,3,0.0
513.2933506993811,513.2933506993811,513.2933506993811,513.2933506993811,116,116,116,116,4,0.0
309.807278071627,309.807278071627,309.807278071627,309.807278071627,54,54,54,54,4,0.0
985.9982254909062,985.9982254909062,985.9982254909062,985.9982254909062,184,184,184,184,4,0.0
232.74013875346338,232.74013875346338,232.74013875346338,232.74013875346338,38,38,38,38,4,0.0
583.8531529867319,583.8531529867319,583.8531529867319,583.8531529867319,117,117,117,117,4,0.0
559.409091113426,481.4274704290718,480.0746804367662,477.4492636528225,87,87,85,90,0,1.0
294.38440191010915,294.38440191010915,294.38440191010915,294.38440191010915,48,48,48,48,0,1.0
449.3999631622888,449.3999631622888,449.3999631622888,449.3999631622888,91,91,91,91,0,1.0
1318.3526371058085,998.6000977874228,946.4569801884114,944.9344024413492,145,156,159,159,0,1.0
1282.2310410020582,998.2717618190378,965.0464490532812,965.0464490532812,143,152,148,148,0,1.0
206.494407521069,206.494407521069,206.494407521069,206.494407521069,56,56,56,56,1,1.0
340.6986321844194,340.6986321844194,340.6986321844194,340.6986321844194,42,42,42,42,1,1.0
753.1931791112074,680.1095723275362,673.1406653652339,673.1406653652339,93,97,95,95,1,1.0
666.4021980224779,586.7139916303331,586.7139916303331,581.6572746902317,123,125,125,135,1,1.0
275.63382556069746,194.20568398605528,194.20568398605528,194.20568398605528,40,41,41,41,1,1.0
444.5193189631814,360.3253178487573,360.3253178487573,359.87123442401906,70,73,73,73,2,1.0
552.6824526103944,552.6824526103944,552.6824526103944,552.6824526103944,83,83,83,83,2,1.0
602.6603767993008,602.6603767993008,602.6603767993008,602.6603767993008,119,119,119,119,2,1.0
472.58110511467765,472.58110511467765,472.58110511467765,472.58110511467765,77,77,77,77,2,1.0
869.0700925718511,869.0700925718511,869.0700925718511,869.0700925718511,181,181,181,181,2,1.0
388.98879854117996,304.65410551546177,304.65410551546177,304.6097739622269,61,65,65,67,3,1.0
236.21947386235666,236.21947386235666,236.21947386235666,236.21947386235666,71,71,71,71,3,1.0
601.5253741999684,362.0944920631156,355.621591517042,349.4671825553798,64,68,66,64,3,1.0
1019.4365161240349,707.1103176323214,705.8166866861988,697.4923334912843,140,128,126,128,3,1.0
783.0609077917856,614.7622686727157,614.7622686727157,614.7622686727157,129,129,129,129,3,1.0
1032.9202299501467,869.4243498349949,867.8790723497589,867.8790723497589,151,164,164,164,4,1.0
828.3117207757903,674.1003829591549,674.1003829591549,674.1003829591549,125,129,129,129,4,1.0
592.265889253106,592.265889253106,510.2827333443077,510.2827333443077,107,107,110,110,4,1.0
995.8194466824677,841.6081088658327,841.6081088658327,841.6081088658327,133,137,137,137,4,1.0
644.6353410628217,644.6353410628217,567.7294624430228,567.7294624430228,86,86,85,85,4,1.0
1365.927734475115,994.8375185304479,951.8998834947888,903.7981364112532,159,174,166,148,0,2.0
1197.4029884352854,850.9968548245964,840.2732922047912,822.1981002352865,158,181,175,171,0,2.0
716.8476410413498,633.4751515202414,551.7513709536029,550.5956375598246,93,95,96,87,0,2.0
688.2077633959881,596.9471917258145,583.1035622423498,555.3097412088878,93,108,103,98,0,2.0
558.1744857423805,454.2781025055181,407.35703755843105,398.9242781738222,101,116,104,92,0,2.0
852.9741269649314,722.5118433398596,702.0819726361393,702.0819726361393,126,136,129,129,1,2.0
1106.2157466070294,885.4747294953049,845.763490897455,811.5778505457421,140,159,155,152,1,2.0
797.5039468620118,650.7771774997508,650.7771774997508,592.8651417004164,105,114,114,106,1,2.0
742.3484999280204,642.6975746086256,627.5164600841048,622.4792301127801,123,135,129,127,1,2.0
291.22922259577393,291.22922259577393,291.22922259577393,291.22922259577393,48,48,48,48,1,2.0
483.87880996046,401.0104776204753,400.77654950655835,400.77654950655835,81,83,83,83,2,2.0
591.6491902525768,508.7808579125918,508.54692979867485,508.54692979867485,117,119,119,119,2,2.0
685.7858952632868,476.46122886346876,448.74305400459593,448.74305400459593,71,79,76,76,2,2.0
1181.2830135778377,887.5475331640398,858.2286846525635,844.0751941430967,175,180,185,164,2,2.0
1171.5391221454304,1052.49895986141,1032.7095029797897,952.9729474061156,168,191,189,179,2,2.0
702.2195208892077,534.3736239773774,534.3736239773774,534.3736239773774,136,139,139,139,3,2.0
733.1149711899168,733.1149711899168,733.1149711899168,733.1149711899168,66,66,66,66,3,2.0
387.27049050804646,389.0219692046709,387.27049050804646,332.20557424056136,52,54,52,61,3,2.0
1044.1347521542846,912.6013613884735,903.8002413934829,903.8002413934829,152,157,156,156,3,2.0
1246.4464937874293,852.9138711402555,852.3729311552942,852.3729311552942,174,175,173,173,3,2.0
684.9014469599304,684.9014469599304,684.9014469599304,684.9014469599304,127,127,127,127,4,2.0
921.839299642347,752.7369971611574,725.8575392569919,670.2283570114495,142,145,142,134,4,2.0
826.1848476692296,697.6752320054703,682.7702341399703,664.8449169427823,135,153,148,143,4,2.0
465.62868410067904,385.9869143616174,385.9869143616174,385.9869143616174,73,76,76,76,4,2.0
716.0056779518761,639.7969573214367,638.1751694981667,638.1751694981667,130,136,134,134,4,2.0
1142.6174356852032,823.1073830819366,826.795586142249,816.5352580870491,133,140,118,135,0,3.0
1517.635912364299,946.8263726751956,897.0720394476605,843.9619308441767,159,198,179,166,0,3.0
426.6229975634169,426.6229975634169,426.6229975634169,426.6229975634169,84,84,84,84,0,3.0
692.5478932636387,542.3898451594175,539.7837394976041,532.7872781231506,96,97,95,91,0,3.0
1057.3179504241537,932.761732383221,931.9799708393517,895.1875058245473,134,141,140,124,0,3.0
1335.2142332842716,1062.1747678682334,1001.7568492712212,975.846479915529,156,192,181,151,1,3.0
536.1108528306928,477.1079009524951,477.1079009524951,451.692022255319,69,71,71,64,1,3.0
904.3105500309568,641.1037706639744,632.6295724142377,611.3827092544742,98,120,115,110,1,3.0
820.7632196526401,629.948924382092,548.5317353758409,510.700227338748,98,134,119,84,1,3.0
998.19015557066,603.5272310747968,624.4993439543283,602.7694187793829,115,114,123,114,1,3.0
1068.6544929517397,679.0277832029822,677.8500342733072,669.2818837592147,126,138,136,138,2,3.0
479.5787194431269,426.49243222813277,417.110278905247,395.46906756047883,65,70,66,59,2,3.0
406.13177564607497,406.13177564607497,313.40074948723037,238.9075164603712,42,42,51,34,2,3.0
