node_id1,node_id2,speed,type,length
258261314,1000070893,default,oneway,30.798789822258385
258261314,258261316,50,twoway,26.081789174502266
258261316,258261314,50,twoway,26.081789174502266
258261316,616454909,50,twoway,66.29481501652032
616454909,258261316,50,twoway,66.29481501652032
258261332,431395620,50,twoway,54.21253542233421
431395620,258261332,50,twoway,54.21253542233421
263012865,471980072,default,twoway,411.39801919869944
471980072,263012865,default,twoway,411.39801919869944
263012865,275672115,default,oneway,599.0364432509248
275658260,275658245,110,oneway,1084.637026245363
275658270,275658260,110,oneway,683.0553250385717
275658270,1000069929,default,oneway,285.4137941705001
275658287,616454917,110,oneway,726.0789930607477
275658287,870434097,default,oneway,324.8338344947172
275658302,275658287,110,oneway,1026.4577310353154
275662144,275666111,90,oneway,665.7861481647984
275666054,275658270,110,oneway,1334.2928714351576
275666076,296873027,70,oneway,158.04096110061153
275666076,11112412689,90,oneway,163.76002394472073
275666086,275666076,90,oneway,258.6451408346777
275666111,275666118,90,oneway,224.62644138336032
275666111,1068168722,70,oneway,159.68665352390383
275666118,10990219563,90,oneway,355.38606635328614
275666150,275669549,110,oneway,1573.8275045644368
275666202,518451554,110,oneway,309.76968487782307
275666202,6153912248,default,oneway,244.11016061555836
275669549,275669555,110,oneway,450.908957475038
275669549,1313001127,default,oneway,201.6033773162517
275669555,275669690,110,oneway,1244.105956213718
275669599,275666202,110,oneway,1604.386589477281
275669603,275669599,110,oneway,208.5024526549576
275669603,840175164,default,oneway,196.36786320946447
275669683,659602983,110,oneway,1073.7531396436982
275669688,275669683,110,oneway,396.459472845764
275669688,1028680210,default,oneway,158.09363179829631
275669690,275669700,110,oneway,359.47648538768544
275669690,659602975,70,oneway,213.01055887622627
275669700,275669717,110,oneway,1135.5839008963828
275669717,275669722,110,oneway,330.6830546171619
275669717,661025660,default,oneway,150.51121142318513
275669722,275672108,110,oneway,769.1423075830052
275672061,275669688,110,oneway,1273.0183992885306
275672061,416527254,default,oneway,515.1079634748072
275672077,324670346,110,oneway,675.4945490278839
275672077,295629774,default,oneway,315.2150104807314
275672108,275672115,110,oneway,586.3535599872431
275672108,416527254,70,oneway,299.50789757729535
275672115,275672127,110,oneway,390.2484294360032
275672127,275672975,110,oneway,1616.429907333498
275672127,295629769,default,oneway,399.5827925503228
275672972,275672077,110,oneway,884.8180285250432
275672976,324017318,50,oneway,50.507793406533054
276936714,3316943069,90,oneway,284.1483563232238
276936716,276936722,70,twoway,22.027632369392816
276936722,276936716,70,twoway,22.027632369392816
276936722,276936723,70,twoway,20.96565076069859
276936723,276936722,70,twoway,20.96565076069859
276936722,603942161,default,oneway,34.470028967568254
276936723,276936724,70,twoway,15.884817439604245
276936724,276936723,70,twoway,15.884817439604245
276936724,1845377094,70,oneway,100.52260387530308
276936724,276936725,70,twoway,20.641264863135376
276936725,276936724,70,twoway,20.641264863135376
276936725,530784267,70,twoway,20.728706901325307
530784267,276936725,70,twoway,20.728706901325307
276936728,276936731,70,twoway,13.535819886242287
276936731,276936728,70,twoway,13.535819886242287
276936728,3634658146,default,oneway,446.6784983784125
276936731,276936716,70,twoway,23.027111474323988
276936716,276936731,70,twoway,23.027111474323988
276936731,276936813,90,oneway,626.6993467848795
276936743,291280321,default,oneway,10.25450952148351
276936743,11198163742,50,oneway,13.074347191431817
276936744,475548434,50,oneway,12.685142203552628
276936744,475548449,50,oneway,38.25360116555045
276936752,526033208,50,oneway,9.071979551963647
276936752,5043871341,30,oneway,340.21962814875917
276936760,1735800559,70,oneway,106.70121535493743
276936760,276936813,default,oneway,491.70491455576325
276936813,1733588785,90,oneway,1314.6714215876345
276936823,526032749,70,oneway,47.73947290279298
276936823,475548434,50,oneway,33.70271828818966
276936825,2513747350,50,oneway,9.00756971547596
276936825,2513747344,default,oneway,31.376367281945544
276936836,527470346,90,oneway,961.4059852502658
276936845,276936825,default,oneway,11.062017014573271
276936845,524684469,70,oneway,64.06888275775273
276960692,663041523,70,twoway,24.215536610853462
663041523,276960692,70,twoway,24.215536610853462
276960708,276960711,70,twoway,26.99594915901914
276960711,276960708,70,twoway,26.99594915901914
276960711,276960821,70,twoway,25.62265473722913
276960821,276960711,70,twoway,25.62265473722913
276960711,813941976,70,oneway,950.49770811898
276960750,518081367,70,twoway,20.09463552033369
518081367,276960750,70,twoway,20.09463552033369
276960755,276960894,70,twoway,22.681748466911827
276960894,276960755,70,twoway,22.681748466911827
276960755,276960758,70,oneway,350.55389445883225
276960758,518081437,default,oneway,97.90882565281348
276960785,1735801378,90,oneway,938.1518017233575
276960816,276960692,70,twoway,22.973329888601633
